"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HDAC3","132","132.00000000000000","1","0.1425111578565036452026504321111133322119712829589843750000000000000000000","0.428613103553272367651771901364554651081562042236328125000000000000000","4.794651258139374760958","TRRUST_Transcription_Factors_2019(rank=132, adjP=0.429)","HDAC3 human","289","4.794651258139374760958","enrichr","289","4.794651258139374760958","0.1425111578565036452026504321111133322119712829589843750000000000000000000","0.428613103553272367651771901364554651081562042236328125000000000000000","","0","",NA,NA,NA
"BCOR","133","354.00000000000000","2","0.5372965627330964499819287993886973708868026733398437500000000000000000000","0.701756032369661775227598354831570759415626525878906250000000000000000","0.617606097515643326368","Transcription_Factor_PPIs(rank=133, adjP=0.998); ChEA_2022(rank=575, adjP=0.702)","BCOR; BCOR 27268052 Chip-Seq Bcells Human","290","0.617606097515643326368","enrichr","290","0.617606097515643326368","0.5372965627330964499819287993886973708868026733398437500000000000000000000","0.701756032369661775227598354831570759415626525878906250000000000000000","","0","",NA,NA,NA
"CREBBP","135","325.00000000000000","2","0.1557191712225995672280731696446309797465801239013671875000000000000000000","0.444226923613981639071823792619397863745689392089843750000000000000000","4.368276790892835492741","TRRUST_Transcription_Factors_2019(rank=135, adjP=0.444); ENCODE_TF_ChIP-seq_2015(rank=515, adjP=1)","CREBBP human; CREBBP K562 hg19","291","4.368276790892835492741","enrichr","291","4.368276790892835492741","0.1557191712225995672280731696446309797465801239013671875000000000000000000","0.444226923613981639071823792619397863745689392089843750000000000000000","","0","",NA,NA,NA
"NFATC1","136","336.00000000000000","3","0.1776983599652303402738340309952036477625370025634765625000000000000000000","0.479906455144193500039762056985637173056602478027343750000000000000000","4.958054780619642443185","Transcription_Factor_PPIs(rank=136, adjP=0.998); TRRUST_Transcription_Factors_2019(rank=146, adjP=0.48); ENCODE_TF_ChIP-seq_2015(rank=726, adjP=1)","NFATC1; NFATC1 mouse; NFATC1 GM12878 hg19","292","4.958054780619642443185","enrichr","292","4.958054780619642443185","0.1776983599652303402738340309952036477625370025634765625000000000000000000","0.479906455144193500039762056985637173056602478027343750000000000000000","","5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=434); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=710)","865","0.30909999999999999","Enrichr Queries,0.3091"
"KLF5","139","209.00000000000000","3","0.0211851958082172990571745430088412831537425518035888671875000000000000000","0.048212369854458127227392338909339741803705692291259765625000000000000","5.781420608186871312739","TRRUST_Transcription_Factors_2019(rank=139, adjP=0.444); Transcription_Factor_PPIs(rank=158, adjP=0.998); ChEA_2022(rank=330, adjP=0.0482)","KLF5 human; KLF5; KLF5 25053715 ChIP-Seq YYC3 Human","293","5.781420608186871312739","enrichr","293","5.781420608186871312739","0.0211851958082172990571745430088412831537425518035888671875000000000000000","0.048212369854458127227392338909339741803705692291259765625000000000000","","5","Literature--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=101); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=571)","256","0.06204000000000000","ARCHS4 Coexpression,0.06204"
"KDM6A","139","430.50000000000000","2","0.7701652650254902088278186056413687765598297119140625000000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","0.179579976992943229908","Transcription_Factor_PPIs(rank=139, adjP=0.998); ChEA_2022(rank=722, adjP=1)","KDM6A; KDM6A 18722178 ChIP-ChIP U937 AND SAOS2 Human","294","0.179579976992943229908","enrichr","294","0.179579976992943229908","0.7701652650254902088278186056413687765598297119140625000000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","","0","",NA,NA,NA
"BRD4","140","140.00000000000000","1","0.0000751158174373677288209946723007703894836595281958580017089843750000000","0.000402942706396165186907842858943240571534261107444763183593750000000","13.916287712799750408976","ChEA_2022(rank=140, adjP=0.000403)","BRD4 25478319 ChIP-Seq HGPS Human","295","13.916287712799750408976","enrichr","295","13.916287712799750408976","0.0000751158174373677288209946723007703894836595281958580017089843750000000","0.000402942706396165186907842858943240571534261107444763183593750000000","","0","",NA,NA,NA
"SMARCD1","141","141.00000000000000","1","0.0000903375077683315173826539279389180592261254787445068359375000000000000","0.000481159349886645527471368266603235497314017266035079956054687500000","13.693065586216588869206","ChEA_2022(rank=141, adjP=0.000481)","SMARCD1 25818293 ChIP-Seq ESCs Mouse","296","13.693065586216588869206","enrichr","296","13.693065586216588869206","0.0000903375077683315173826539279389180592261254787445068359375000000000000","0.000481159349886645527471368266603235497314017266035079956054687500000","","0","",NA,NA,NA
"TBP","142","375.75000000000000","4","0.5717573718573738528192507146741263568401336669921875000000000000000000000","0.639401905992612484830317498563090339303016662597656250000000000000000","0.686872164856586975290","Transcription_Factor_PPIs(rank=142, adjP=0.998); TRRUST_Transcription_Factors_2019(rank=354, adjP=0.639); ENCODE_TF_ChIP-seq_2015(rank=362, adjP=1); ChEA_2022(rank=645, adjP=1)","TBP; TBP human; TBP H1-hESC hg19; TBP 23326641 ChIP-Seq C3H10T1-2 Mouse","297","0.686872164856586975290","enrichr","297","0.686872164856586975290","0.5717573718573738528192507146741263568401336669921875000000000000000000000","0.639401905992612484830317498563090339303016662597656250000000000000000","","5","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=146); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=1379); GTEx--Coexpression(rank=1440)","1421","0.65249999999999997","ENCODE ChIP-seq,0.6525"
"HNF4G","143","143.00000000000000","1","0.9238971074552781992395011911867186427116394042968750000000000000000000000","0.999995201574610415029553678323281928896903991699218750000000000000000","0.060693744228341880986","ENCODE_TF_ChIP-seq_2015(rank=143, adjP=1)","HNF4G HepG2 hg19","298","0.060693744228341880986","enrichr","298","0.060693744228341880986","0.9238971074552781992395011911867186427116394042968750000000000000000000000","0.999995201574610415029553678323281928896903991699218750000000000000000","","5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=179); Enrichr--Queries(rank=247); GTEx--Coexpression(rank=383)","402","0.11000000000000000","ARCHS4 Coexpression,0.11"
