"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF4","-2.88316212157459395","-2.88316212157459395","2.88316212157459395","Repressed","49","viper","49","2.88316212157459395",NA,NA,"5","ReMap--ChIP-seq(rank=29); Literature--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=117); Enrichr--Queries(rank=243)","159","0.037470000000000003","ARCHS4 Coexpression,0.03747"
"GATA3","-2.87282739869391568","-2.87282739869391568","2.87282739869391568","Repressed","50","viper","50","2.87282739869391568",NA,NA,"6","ARCHS4--Coexpression(rank=13); ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=130); GTEx--Coexpression(rank=178)","27","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"SP3","-2.87002625667545574","-2.87002625667545574","2.87002625667545574","Repressed","51","viper","51","2.87002625667545574",NA,NA,"3","GTEx--Coexpression(rank=941); Enrichr--Queries(rank=1244); ARCHS4--Coexpression(rank=1578)","1409","0.585600000000000009","GTEx Coexpression,0.5856"
"ESRRA","-2.81320529413302056","-2.81320529413302056","2.81320529413302056","Repressed","52","viper","52","2.81320529413302056",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=763); ARCHS4--Coexpression(rank=1060); GTEx--Coexpression(rank=1446)","1147","0.410799999999999998","ReMap ChIP-seq,0.4108"
"RUNX1","-2.80185068887717925","-2.80185068887717925","2.80185068887717925","Repressed","53","viper","53","2.80185068887717925",NA,NA,"5","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=519); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=1077)","795","0.243900000000000006","Literature ChIP-seq,0.2439"
"SMAD1","-2.79713672522109569","-2.79713672522109569","2.79713672522109569","Repressed","54","viper","54","2.79713672522109569",NA,NA,"5","ReMap--ChIP-seq(rank=94); Literature--ChIP-seq(rank=104); Enrichr--Queries(rank=313); ARCHS4--Coexpression(rank=546); GTEx--Coexpression(rank=1103)","745","0.222899999999999987","Enrichr Queries,0.2229"
"KDM5B","-2.78513536629563285","-2.78513536629563285","2.78513536629563285","Repressed","55","viper","55","2.78513536629563285",NA,NA,"5","ReMap--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=184); GTEx--Coexpression(rank=1505)","425","0.113000000000000003","ARCHS4 Coexpression,0.113"
"EOMES","-2.77361590576695205","-2.77361590576695205","2.77361590576695205","Repressed","56","viper","56","2.77361590576695205",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=594); GTEx--Coexpression(rank=1009); ARCHS4--Coexpression(rank=1166)","933","0.298800000000000010","Literature ChIP-seq,0.2988"
"SREBF1","-2.76767620995094488","-2.76767620995094488","2.76767620995094488","Repressed","57","viper","57","2.76767620995094488",NA,NA,"6","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=290); GTEx--Coexpression(rank=321); Enrichr--Queries(rank=599)","338","0.084180000000000005","ReMap ChIP-seq,0.08418"
"KLF6","-2.75712897032516846","-2.75712897032516846","2.75712897032516846","Repressed","58","viper","58","2.75712897032516846",NA,NA,"4","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=14); Enrichr--Queries(rank=165); GTEx--Coexpression(rank=558)","22","0.006734000000000000","ReMap ChIP-seq,0.006734"
