"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"USF2","1.08776806203123089","1.08776806203123089","1.08776806203123089","Activated","167","viper","167","1.08776806203123089",NA,NA,"5","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=45); GTEx--Coexpression(rank=472); Enrichr--Queries(rank=1160); ARCHS4--Coexpression(rank=1309)","522","0.141399999999999998","ReMap ChIP-seq,0.1414"
"ZKSCAN1","-1.07621372429920648","-1.07621372429920648","1.07621372429920648","Repressed","168","viper","168","1.07621372429920648",NA,NA,"5","ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=63); GTEx--Coexpression(rank=121); ARCHS4--Coexpression(rank=302); Enrichr--Queries(rank=969)","308","0.075300000000000006","GTEx Coexpression,0.0753"
"SP1","-1.07523125153900545","-1.07523125153900545","1.07523125153900545","Repressed","169","viper","169","1.07523125153900545",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=639); Enrichr--Queries(rank=1075); ARCHS4--Coexpression(rank=1454)","584","0.161599999999999994","ReMap ChIP-seq,0.1616"
"MYBL2","-1.07317963303729957","-1.07317963303729957","1.07317963303729957","Repressed","170","viper","170","1.07317963303729957",NA,NA,"6","ARCHS4--Coexpression(rank=25); GTEx--Coexpression(rank=44); ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=200)","60","0.015360000000000000","ARCHS4 Coexpression,0.01536"
"POU4F2","1.05710982432965017","1.05710982432965017","1.05710982432965017","Activated","171","viper","171","1.05710982432965017",NA,NA,"4","ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=564); Enrichr--Queries(rank=1356); GTEx--Coexpression(rank=1531)","1031","0.346399999999999986","ARCHS4 Coexpression,0.3464"
"ELK4","-1.05564942953911567","-1.05564942953911567","1.05564942953911567","Repressed","172","viper","172","1.05564942953911567",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=1017); Enrichr--Queries(rank=1047); ARCHS4--Coexpression(rank=1471)","1391","0.565699999999999981","ReMap ChIP-seq,0.5657"
"CREB3L1","1.04087491420127942","1.04087491420127942","1.04087491420127942","Activated","173","viper","173","1.04087491420127942",NA,NA,"4","ARCHS4--Coexpression(rank=79); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=272); GTEx--Coexpression(rank=480)","207","0.048529999999999997","ARCHS4 Coexpression,0.04853"
"ZNF592","1.03655823637716260","1.03655823637716260","1.03655823637716260","Activated","174","viper","174","1.03655823637716260",NA,NA,"4","ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=1161); GTEx--Coexpression(rank=1200); Enrichr--Queries(rank=1370)","1466","0.649800000000000044","ReMap ChIP-seq,0.6498"
"SP4","1.03642239553792659","1.03642239553792659","1.03642239553792659","Activated","175","viper","175","1.03642239553792659",NA,NA,"5","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=458); ARCHS4--Coexpression(rank=833); GTEx--Coexpression(rank=1241)","989","0.326199999999999990","Enrichr Queries,0.3262"
"SMAD5","1.03365361015589063","1.03365361015589063","1.03365361015589063","Activated","176","viper","176","1.03365361015589063",NA,NA,"4","ReMap--ChIP-seq(rank=214); ARCHS4--Coexpression(rank=621); GTEx--Coexpression(rank=903); Enrichr--Queries(rank=1070)","1097","0.381400000000000017","ARCHS4 Coexpression,0.3814"
"TGIF2","-1.02901060415255197","-1.02901060415255197","1.02901060415255197","Repressed","177","viper","177","1.02901060415255197",NA,NA,"4","ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=647); ARCHS4--Coexpression(rank=763)","671","0.192299999999999999","Enrichr Queries,0.1923"
"ELF1","-0.99936936101582685","-0.99936936101582685","0.99936936101582685","Repressed","178","viper","178","0.99936936101582685",NA,NA,"5","ReMap--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=192); GTEx--Coexpression(rank=464)","440","0.117900000000000005","ARCHS4 Coexpression,0.1179"
"ETS2","-0.97501521802954261","-0.97501521802954261","0.97501521802954261","Repressed","179","viper","179","0.97501521802954261",NA,NA,"4","ARCHS4--Coexpression(rank=46); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=136); Literature--ChIP-seq(rank=149)","113","0.028260000000000000","ARCHS4 Coexpression,0.02826"
"ASCL1","-0.95021686383772608","-0.95021686383772608","0.95021686383772608","Repressed","180","viper","180","0.95021686383772608",NA,NA,"4","ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=866); Enrichr--Queries(rank=1139); ARCHS4--Coexpression(rank=1492)","188","0.043770000000000003","ReMap ChIP-seq,0.04377"
"EPAS1","-0.94031793598274926","-0.94031793598274926","0.94031793598274926","Repressed","181","viper","181","0.94031793598274926",NA,NA,"4","ARCHS4--Coexpression(rank=122); GTEx--Coexpression(rank=131); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=358)","307","0.074940000000000007","ARCHS4 Coexpression,0.07494"
"E2F7","0.92732616708388260","0.92732616708388260","0.92732616708388260","Activated","182","viper","182","0.92732616708388260",NA,NA,"5","Literature--ChIP-seq(rank=62); GTEx--Coexpression(rank=77); ARCHS4--Coexpression(rank=87); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=167)","205","0.047919999999999997","GTEx Coexpression,0.04792"
"ATF3","0.92032622870117653","0.92032622870117653","0.92032622870117653","Activated","183","viper","183","0.92032622870117653",NA,NA,"6","ARCHS4--Coexpression(rank=35); Enrichr--Queries(rank=95); ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=109); GTEx--Coexpression(rank=175)","87","0.021499999999999998","ARCHS4 Coexpression,0.0215"
"HINFP","0.91249031116293966","0.91249031116293966","0.91249031116293966","Activated","184","viper","184","0.91249031116293966",NA,NA,"3","ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=676); ARCHS4--Coexpression(rank=946)","1166","0.420700000000000018","GTEx Coexpression,0.4207"
"BACH2","-0.90530484947927070","-0.90530484947927070","0.90530484947927070","Repressed","185","viper","185","0.90530484947927070",NA,NA,"4","Enrichr--Queries(rank=53); ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=799); GTEx--Coexpression(rank=1141)","160","0.037749999999999999","Enrichr Queries,0.03775"
"ZBTB33","0.89059570315591219","0.89059570315591219","0.89059570315591219","Activated","186","viper","186","0.89059570315591219",NA,NA,"5","GTEx--Coexpression(rank=75); ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=213); Enrichr--Queries(rank=1251); ARCHS4--Coexpression(rank=1569)","199","0.046670000000000003","GTEx Coexpression,0.04667"
"NR3C1","-0.87267225855659858","-0.87267225855659858","0.87267225855659858","Repressed","187","viper","187","0.87267225855659858",NA,NA,"6","Literature--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=274); ARCHS4--Coexpression(rank=436); GTEx--Coexpression(rank=975)","678","0.195200000000000012","Enrichr Queries,0.1952"
"PAX8","0.86660200893000572","0.86660200893000572","0.86660200893000572","Activated","188","viper","188","0.86660200893000572",NA,NA,"4","ARCHS4--Coexpression(rank=57); Enrichr--Queries(rank=79); ReMap--ChIP-seq(rank=285); GTEx--Coexpression(rank=505)","148","0.035009999999999999","ARCHS4 Coexpression,0.03501"
"FOSL2","0.86651953019194528","0.86651953019194528","0.86651953019194528","Activated","189","viper","189","0.86651953019194528",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=135); GTEx--Coexpression(rank=546); ARCHS4--Coexpression(rank=603)","365","0.093219999999999997","ENCODE ChIP-seq,0.09322"
"STAT5B","0.84963550439064783","0.84963550439064783","0.84963550439064783","Activated","190","viper","190","0.84963550439064783",NA,NA,"4","ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=463); Enrichr--Queries(rank=810); GTEx--Coexpression(rank=838)","897","0.284399999999999986","ARCHS4 Coexpression,0.2844"
"STAT5A","0.84525065509738995","0.84525065509738995","0.84525065509738995","Activated","191","viper","191","0.84525065509738995",NA,NA,"6","Literature--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=93); GTEx--Coexpression(rank=250); ReMap--ChIP-seq(rank=286); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=442)","563","0.155599999999999988","GTEx Coexpression,0.1556"
"CREM","-0.84507605892679949","-0.84507605892679949","0.84507605892679949","Repressed","192","viper","192","0.84507605892679949",NA,NA,"5","Enrichr--Queries(rank=85); Literature--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=615); GTEx--Coexpression(rank=1570)","256","0.060539999999999997","Enrichr Queries,0.06054"
"WT1","-0.84027279753646389","-0.84027279753646389","0.84027279753646389","Repressed","193","viper","193","0.84027279753646389",NA,NA,"4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=455); ARCHS4--Coexpression(rank=786); GTEx--Coexpression(rank=1420)","97","0.024389999999999998","Literature ChIP-seq,0.02439"
"NCOA3","-0.83135699733579405","-0.83135699733579405","0.83135699733579405","Repressed","194","viper","194","0.83135699733579405",NA,NA,"4","ARCHS4--Coexpression(rank=208); ReMap--ChIP-seq(rank=224); GTEx--Coexpression(rank=728); Enrichr--Queries(rank=783)","476","0.127799999999999997","ARCHS4 Coexpression,0.1278"
"MXI1","-0.81742911816656283","-0.81742911816656283","0.81742911816656283","Repressed","195","viper","195","0.81742911816656283",NA,NA,"5","ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=45); Enrichr--Queries(rank=179); GTEx--Coexpression(rank=474); ARCHS4--Coexpression(rank=561)","474","0.127500000000000002","Enrichr Queries,0.1275"
"BATF","-0.81555140241494795","-0.81555140241494795","0.81555140241494795","Repressed","196","viper","196","0.81555140241494795",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=441); GTEx--Coexpression(rank=560); Enrichr--Queries(rank=1025)","864","0.270899999999999974","ARCHS4 Coexpression,0.2709"
"AR","-0.81418245388149812","-0.81418245388149812","0.81418245388149812","Repressed","197","viper","197","0.81418245388149812",NA,NA,"5","Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=394); GTEx--Coexpression(rank=1411)","358","0.091460000000000000","Literature ChIP-seq,0.09146"
"HOXA9","-0.80069268446247122","-0.80069268446247122","0.80069268446247122","Repressed","198","viper","198","0.80069268446247122",NA,NA,"4","GTEx--Coexpression(rank=147); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=398); Enrichr--Queries(rank=558)","359","0.091469999999999996","GTEx Coexpression,0.09147"
"NEUROD1","-0.79212982522256736","-0.79212982522256736","0.79212982522256736","Repressed","199","viper","199","0.79212982522256736",NA,NA,"4","ReMap--ChIP-seq(rank=33); GTEx--Coexpression(rank=591); ARCHS4--Coexpression(rank=740); Enrichr--Queries(rank=1208)","422","0.111100000000000004","ReMap ChIP-seq,0.1111"
"GATA4","-0.78528107554060300","-0.78528107554060300","0.78528107554060300","Repressed","200","viper","200","0.78528107554060300",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=394); Enrichr--Queries(rank=561); GTEx--Coexpression(rank=1335)","535","0.144800000000000012","ReMap ChIP-seq,0.1448"
"FOXK2","0.78211226052116400","0.78211226052116400","0.78211226052116400","Activated","201","viper","201","0.78211226052116400",NA,NA,"4","ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=222); ARCHS4--Coexpression(rank=695); Enrichr--Queries(rank=1241)","510","0.138100000000000001","GTEx Coexpression,0.1381"
"CTCFL","0.74571841055794685","0.74571841055794685","0.74571841055794685","Activated","202","viper","202","0.74571841055794685",NA,NA,"5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=47); Enrichr--Queries(rank=564); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=1538)","83","0.020199999999999999","ReMap ChIP-seq,0.0202"
"JUND","0.74384071401824869","0.74384071401824869","0.74384071401824869","Activated","203","viper","203","0.74384071401824869",NA,NA,"6","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=861); Enrichr--Queries(rank=876); GTEx--Coexpression(rank=907)","399","0.104400000000000007","ReMap ChIP-seq,0.1044"
"GABPA","0.74009196744869787","0.74009196744869787","0.74009196744869787","Activated","204","viper","204","0.74009196744869787",NA,NA,"6","Literature--ChIP-seq(rank=67); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=1023); Enrichr--Queries(rank=1315); ARCHS4--Coexpression(rank=1554)","785","0.239100000000000007","ReMap ChIP-seq,0.2391"
"ERG","0.72816261418805373","0.72816261418805373","0.72816261418805373","Activated","205","viper","205","0.72816261418805373",NA,NA,"5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=121); GTEx--Coexpression(rank=123); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=526)","312","0.076539999999999997","GTEx Coexpression,0.07654"
"PAX5","-0.71849876107538102","-0.71849876107538102","0.71849876107538102","Repressed","206","viper","206","0.71849876107538102",NA,NA,"5","ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=289); Enrichr--Queries(rank=894); GTEx--Coexpression(rank=922)","633","0.177499999999999991","ARCHS4 Coexpression,0.1775"
"STAT1","-0.70977307287898217","-0.70977307287898217","0.70977307287898217","Repressed","207","viper","207","0.70977307287898217",NA,NA,"6","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=124); Literature--ChIP-seq(rank=140); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=333); Enrichr--Queries(rank=875)","495","0.133200000000000013","GTEx Coexpression,0.1332"
"MNT","-0.70920291201863805","-0.70920291201863805","0.70920291201863805","Repressed","208","viper","208","0.70920291201863805",NA,NA,"4","ReMap--ChIP-seq(rank=15); GTEx--Coexpression(rank=357); Enrichr--Queries(rank=371); ARCHS4--Coexpression(rank=693)","216","0.050509999999999999","ReMap ChIP-seq,0.05051"
"THAP1","0.70499224412994421","0.70499224412994421","0.70499224412994421","Activated","209","viper","209","0.70499224412994421",NA,NA,"5","ReMap--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=89); Enrichr--Queries(rank=909); ARCHS4--Coexpression(rank=1332); GTEx--Coexpression(rank=1352)","317","0.077439999999999995","ReMap ChIP-seq,0.07744"
"MITF","-0.68004259104550158","-0.68004259104550158","0.68004259104550158","Repressed","210","viper","210","0.68004259104550158",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=124); ARCHS4--Coexpression(rank=242); GTEx--Coexpression(rank=426)","326","0.079269999999999993","Literature ChIP-seq,0.07927"
"HBP1","0.66227910859555528","0.66227910859555528","0.66227910859555528","Activated","211","viper","211","0.66227910859555528",NA,NA,"4","Enrichr--Queries(rank=27); ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=130); GTEx--Coexpression(rank=318)","78","0.019230000000000001","Enrichr Queries,0.01923"
"TAL1","-0.65380648785406692","-0.65380648785406692","0.65380648785406692","Repressed","212","viper","212","0.65380648785406692",NA,NA,"6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=346); GTEx--Coexpression(rank=567); Enrichr--Queries(rank=632)","720","0.212499999999999994","ARCHS4 Coexpression,0.2125"
"TBP","-0.64667085143471026","-0.64667085143471026","0.64667085143471026","Repressed","213","viper","213","0.64667085143471026",NA,NA,"5","ENCODE--ChIP-seq(rank=55); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=1175); GTEx--Coexpression(rank=1298)","1102","0.383799999999999975","ReMap ChIP-seq,0.3838"
"CTCF","0.64537783733182441","0.64537783733182441","0.64537783733182441","Activated","214","viper","214","0.64537783733182441",NA,NA,"6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=534); GTEx--Coexpression(rank=1016); Enrichr--Queries(rank=1333)","29","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"TCF7","-0.62052715971383843","-0.62052715971383843","0.62052715971383843","Repressed","215","viper","215","0.62052715971383843",NA,NA,"5","Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=304); ARCHS4--Coexpression(rank=375); GTEx--Coexpression(rank=1052)","728","0.216499999999999998","Enrichr Queries,0.2165"
"PROX1","-0.60881914794890968","-0.60881914794890968","0.60881914794890968","Repressed","216","viper","216","0.60881914794890968",NA,NA,"4","ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=1410); GTEx--Coexpression(rank=1456)","1008","0.336199999999999999","Enrichr Queries,0.3362"
"ATF1","0.60804637419356344","0.60804637419356344","0.60804637419356344","Activated","217","viper","217","0.60804637419356344",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=162); ARCHS4--Coexpression(rank=632); Enrichr--Queries(rank=870); GTEx--Coexpression(rank=1150)","1108","0.388199999999999990","ARCHS4 Coexpression,0.3882"
"MBD2","-0.58238302269892495","-0.58238302269892495","0.58238302269892495","Repressed","218","viper","218","0.58238302269892495",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=630); Enrichr--Queries(rank=967); ARCHS4--Coexpression(rank=1064)","1115","0.392000000000000015","GTEx Coexpression,0.392"
"SOX11","0.56601276702750114","0.56601276702750114","0.56601276702750114","Activated","219","viper","219","0.56601276702750114",NA,NA,"5","Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=267); Enrichr--Queries(rank=816); ARCHS4--Coexpression(rank=817); GTEx--Coexpression(rank=1024)","1300","0.501800000000000024","ARCHS4 Coexpression,0.5018"
"CREB1","0.55782075840056966","0.55782075840056966","0.55782075840056966","Activated","220","viper","220","0.55782075840056966",NA,NA,"6","Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=86); ENCODE--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=619); GTEx--Coexpression(rank=966); Enrichr--Queries(rank=1073)","842","0.262199999999999989","Literature ChIP-seq,0.2622"
"RXRA","0.54964388937019393","0.54964388937019393","0.54964388937019393","Activated","221","viper","221","0.54964388937019393",NA,NA,"6","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=89); Literature--ChIP-seq(rank=122); GTEx--Coexpression(rank=203); Enrichr--Queries(rank=461); ARCHS4--Coexpression(rank=494)","468","0.126299999999999996","GTEx Coexpression,0.1263"
"REL","-0.54199564834841774","-0.54199564834841774","0.54199564834841774","Repressed","222","viper","222","0.54199564834841774",NA,NA,"3","Enrichr--Queries(rank=192); ARCHS4--Coexpression(rank=432); GTEx--Coexpression(rank=457)","506","0.136800000000000005","Enrichr Queries,0.1368"
"DUX4","-0.53905193073906355","-0.53905193073906355","0.53905193073906355","Repressed","223","viper","223","0.53905193073906355",NA,NA,"2","ReMap--ChIP-seq(rank=278); ARCHS4--Coexpression(rank=1515)","1614","0.930599999999999983","ARCHS4 Coexpression,0.9306"
"PGR","-0.52967051664231835","-0.52967051664231835","0.52967051664231835","Repressed","224","viper","224","0.52967051664231835",NA,NA,"4","ReMap--ChIP-seq(rank=136); ARCHS4--Coexpression(rank=142); Enrichr--Queries(rank=517); GTEx--Coexpression(rank=759)","346","0.087220000000000006","ARCHS4 Coexpression,0.08722"
"RELB","0.50980376683379303","0.50980376683379303","0.50980376683379303","Activated","225","viper","225","0.50980376683379303",NA,NA,"4","ReMap--ChIP-seq(rank=155); GTEx--Coexpression(rank=236); ARCHS4--Coexpression(rank=287); Enrichr--Queries(rank=457)","542","0.146900000000000003","GTEx Coexpression,0.1469"
"PPARA","0.50437464053023084","0.50437464053023084","0.50437464053023084","Activated","226","viper","226","0.50437464053023084",NA,NA,"3","Enrichr--Queries(rank=382); ARCHS4--Coexpression(rank=937); GTEx--Coexpression(rank=946)","866","0.272100000000000009","Enrichr Queries,0.2721"
"ELF5","-0.47407743554014126","-0.47407743554014126","0.47407743554014126","Repressed","227","viper","227","0.47407743554014126",NA,NA,"5","ARCHS4--Coexpression(rank=26); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=149); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=319)","63","0.015970000000000002","ARCHS4 Coexpression,0.01597"
"BACH1","0.44258879359591230","0.44258879359591230","0.44258879359591230","Activated","228","viper","228","0.44258879359591230",NA,NA,"6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=197); GTEx--Coexpression(rank=756); ARCHS4--Coexpression(rank=787)","374","0.097559999999999994","Literature ChIP-seq,0.09756"
"ETV1","-0.43585022283203834","-0.43585022283203834","0.43585022283203834","Repressed","229","viper","229","0.43585022283203834",NA,NA,"4","ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=633)","538","0.145600000000000007","ARCHS4 Coexpression,0.1456"
"NFE2L2","-0.43219324693993016","-0.43219324693993016","0.43219324693993016","Repressed","230","viper","230","0.43219324693993016",NA,NA,"5","GTEx--Coexpression(rank=49); ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=66); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=541)","125","0.030490000000000000","GTEx Coexpression,0.03049"
"GATA1","0.42988893933215938","0.42988893933215938","0.42988893933215938","Activated","231","viper","231","0.42988893933215938",NA,NA,"6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=243); ARCHS4--Coexpression(rank=527); Enrichr--Queries(rank=731); GTEx--Coexpression(rank=1425)","612","0.170699999999999991","Literature ChIP-seq,0.1707"
"CEBPD","-0.42566111741936552","-0.42566111741936552","0.42566111741936552","Repressed","232","viper","232","0.42566111741936552",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=85); Literature--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=198); GTEx--Coexpression(rank=309)","453","0.121600000000000000","ARCHS4 Coexpression,0.1216"
"HHEX","0.42044369095598721","0.42044369095598721","0.42044369095598721","Activated","233","viper","233","0.42044369095598721",NA,NA,"4","ReMap--ChIP-seq(rank=262); ARCHS4--Coexpression(rank=342); GTEx--Coexpression(rank=492); Enrichr--Queries(rank=651)","712","0.210100000000000009","ARCHS4 Coexpression,0.2101"
"XBP1","-0.40759875605525098","-0.40759875605525098","0.40759875605525098","Repressed","234","viper","234","0.40759875605525098",NA,NA,"4","ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=864); GTEx--Coexpression(rank=998)","57","0.014740000000000000","ARCHS4 Coexpression,0.01474"
"ZNF639","-0.40142761560643325","-0.40142761560643325","0.40142761560643325","Repressed","235","viper","235","0.40142761560643325",NA,NA,"4","ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=625); GTEx--Coexpression(rank=931); Enrichr--Queries(rank=1186)","1103","0.383900000000000019","ARCHS4 Coexpression,0.3839"
"NCOA1","-0.39914795299635358","-0.39914795299635358","0.39914795299635358","Repressed","236","viper","236","0.39914795299635358",NA,NA,"4","ReMap--ChIP-seq(rank=154); ARCHS4--Coexpression(rank=283); GTEx--Coexpression(rank=764); Enrichr--Queries(rank=809)","621","0.173800000000000010","ARCHS4 Coexpression,0.1738"
"ZNF143","0.38249944084776277","0.38249944084776277","0.38249944084776277","Activated","237","viper","237","0.38249944084776277",NA,NA,"5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=56); Enrichr--Queries(rank=769); GTEx--Coexpression(rank=1014); ARCHS4--Coexpression(rank=1017)","51","0.013469999999999999","ReMap ChIP-seq,0.01347"
"TCF7L2","-0.37647280857541970","-0.37647280857541970","0.37647280857541970","Repressed","238","viper","238","0.37647280857541970",NA,NA,"6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=79); Literature--ChIP-seq(rank=85); Enrichr--Queries(rank=311); GTEx--Coexpression(rank=570); ARCHS4--Coexpression(rank=744)","531","0.144100000000000006","ENCODE ChIP-seq,0.1441"
"KMT2A","-0.34679883095342651","-0.34679883095342651","0.34679883095342651","Repressed","239","viper","239","0.34679883095342651",NA,NA,"3","ReMap--ChIP-seq(rank=227); ARCHS4--Coexpression(rank=1456); GTEx--Coexpression(rank=1482)","1545","0.764299999999999979","ReMap ChIP-seq,0.7643"
"TCF3","0.34622547570592882","0.34622547570592882","0.34622547570592882","Activated","240","viper","240","0.34622547570592882",NA,NA,"6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=182); GTEx--Coexpression(rank=839); Enrichr--Queries(rank=861)","339","0.084750000000000006","ENCODE ChIP-seq,0.08475"
"TWIST1","-0.33978931698950204","-0.33978931698950204","0.33978931698950204","Repressed","241","viper","241","0.33978931698950204",NA,NA,"4","ReMap--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=84); Enrichr--Queries(rank=546); GTEx--Coexpression(rank=796)","220","0.051600000000000000","ARCHS4 Coexpression,0.0516"
"ATF7","-0.32992083425229779","-0.32992083425229779","0.32992083425229779","Repressed","242","viper","242","0.32992083425229779",NA,NA,"4","ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=450); ARCHS4--Coexpression(rank=670); Enrichr--Queries(rank=1023)","607","0.168399999999999994","ReMap ChIP-seq,0.1684"
"STAT6","-0.31152426880710959","-0.31152426880710959","0.31152426880710959","Repressed","243","viper","243","0.31152426880710959",NA,NA,"4","Literature--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=435); Enrichr--Queries(rank=802); GTEx--Coexpression(rank=1176)","858","0.267199999999999993","ARCHS4 Coexpression,0.2672"
"ATF6","0.30108496766702397","0.30108496766702397","0.30108496766702397","Activated","244","viper","244","0.30108496766702397",NA,NA,"3","Enrichr--Queries(rank=251); GTEx--Coexpression(rank=460); ARCHS4--Coexpression(rank=1354)","637","0.178799999999999987","Enrichr Queries,0.1788"
"LHX2","0.29641209926647205","0.29641209926647205","0.29641209926647205","Activated","245","viper","245","0.29641209926647205",NA,NA,"4","ReMap--ChIP-seq(rank=292); GTEx--Coexpression(rank=298); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=940)","654","0.185400000000000009","GTEx Coexpression,0.1854"
"SOX2","-0.28988719486254216","-0.28988719486254216","0.28988719486254216","Repressed","246","viper","246","0.28988719486254216",NA,NA,"5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=613)","20","0.006098000000000000","Literature ChIP-seq,0.006098"
