"TF","MD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"RUNX1","2.2467816043009136706","2.2467816043009136706","2.2467816043009136706","Activated","78","viper","78","2.2467816043009136706",NA,NA,"5","Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=321); GTEx--Coexpression(rank=510); ARCHS4--Coexpression(rank=946)","695","0.22860000000000000","Enrichr Queries,0.2286"
"ZBTB7A","-2.2352176011036193337","-2.2352176011036193337","2.2352176011036193337","Repressed","79","viper","79","2.2352176011036193337",NA,NA,"5","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=816); ARCHS4--Coexpression(rank=904); Enrichr--Queries(rank=1061)","361","0.09428000000000000","ReMap ChIP-seq,0.09428"
"SMAD1","2.2107539312922845909","2.2107539312922845909","2.2107539312922845909","Activated","80","viper","80","2.2107539312922845909",NA,NA,"5","Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=500); Enrichr--Queries(rank=546); GTEx--Coexpression(rank=1364)","863","0.30709999999999998","ARCHS4 Coexpression,0.3071"
"ASCL1","2.2039644561042477378","2.2039644561042477378","2.2039644561042477378","Activated","81","viper","81","2.2039644561042477378",NA,NA,"4","ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=291); GTEx--Coexpression(rank=491); ARCHS4--Coexpression(rank=882)","651","0.20730000000000001","Enrichr Queries,0.2073"
"ELF1","2.1867100339949407939","2.1867100339949407939","2.1867100339949407939","Activated","82","viper","82","2.1867100339949407939",NA,NA,"5","ENCODE--ChIP-seq(rank=104); Literature--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=219); ReMap--ChIP-seq(rank=255); GTEx--Coexpression(rank=721)","479","0.13450000000000001","ARCHS4 Coexpression,0.1345"
"SOX11","2.1568027175566961695","2.1568027175566961695","2.1568027175566961695","Activated","83","viper","83","2.1568027175566961695",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=117); Enrichr--Queries(rank=132); ARCHS4--Coexpression(rank=187); GTEx--Coexpression(rank=362)","360","0.09402000000000001","Enrichr Queries,0.09402"
"PBX2","2.1503623336871067195","2.1503623336871067195","2.1503623336871067195","Activated","84","viper","84","2.1503623336871067195",NA,NA,"4","ReMap--ChIP-seq(rank=153); GTEx--Coexpression(rank=435); Enrichr--Queries(rank=1105); ARCHS4--Coexpression(rank=1248)","785","0.27070000000000000","GTEx Coexpression,0.2707"
"IKZF1","2.1210720717203708219","2.1210720717203708219","2.1210720717203708219","Activated","85","viper","85","2.1210720717203708219",NA,NA,"6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=30); Literature--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=167); GTEx--Coexpression(rank=192); Enrichr--Queries(rank=518)","383","0.10100000000000001","ReMap ChIP-seq,0.101"
"SOX10","-2.1165932052531948315","-2.1165932052531948315","2.1165932052531948315","Repressed","86","viper","86","2.1165932052531948315",NA,NA,"4","GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=299); Enrichr--Queries(rank=395)","22","0.00497800000000000","GTEx Coexpression,0.004978"
"SREBF2","2.0793409898073829112","2.0793409898073829112","2.0793409898073829112","Activated","87","viper","87","2.0793409898073829112",NA,NA,"6","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=103); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=932); ARCHS4--Coexpression(rank=1315)","279","0.06907000000000001","GTEx Coexpression,0.06907"
"HNF1A","-2.0726427149409301087","-2.0726427149409301087","2.0726427149409301087","Repressed","88","viper","88","2.0726427149409301087",NA,NA,"3","ARCHS4--Coexpression(rank=396); GTEx--Coexpression(rank=618); Enrichr--Queries(rank=767)","729","0.24320000000000000","ARCHS4 Coexpression,0.2432"
"HNF4A","2.0681332618262633360","2.0681332618262633360","2.0681332618262633360","Activated","89","viper","89","2.0681332618262633360",NA,NA,"6","ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=317); Enrichr--Queries(rank=651); GTEx--Coexpression(rank=664)","625","0.19470000000000001","ARCHS4 Coexpression,0.1947"
"XBP1","2.0631085048448656316","2.0631085048448656316","2.0631085048448656316","Activated","90","viper","90","2.0631085048448656316",NA,NA,"4","ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=430); GTEx--Coexpression(rank=661); Enrichr--Queries(rank=1033)","774","0.26410000000000000","ARCHS4 Coexpression,0.2641"
"BACH2","2.0141605790929584252","2.0141605790929584252","2.0141605790929584252","Activated","91","viper","91","2.0141605790929584252",NA,NA,"4","Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=976)","195","0.04487000000000000","Enrichr Queries,0.04487"
"MEF2C","1.9816901114505052206","1.9816901114505052206","1.9816901114505052206","Activated","92","viper","92","1.9816901114505052206",NA,NA,"5","ARCHS4--Coexpression(rank=40); ENCODE--ChIP-seq(rank=56); Enrichr--Queries(rank=74); ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=690)","106","0.02457000000000000","ARCHS4 Coexpression,0.02457"
"EBF1","1.9549649896415919326","1.9549649896415919326","1.9549649896415919326","Activated","93","viper","93","1.9549649896415919326",NA,NA,"5","Enrichr--Queries(rank=61); ENCODE--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=175); ReMap--ChIP-seq(rank=204); GTEx--Coexpression(rank=423)","188","0.04345000000000000","Enrichr Queries,0.04345"
"NFE2","1.9409047912130577007","1.9409047912130577007","1.9409047912130577007","Activated","94","viper","94","1.9409047912130577007",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=348); ARCHS4--Coexpression(rank=390)","647","0.20440000000000000","Enrichr Queries,0.2044"
"NCOA1","1.9211058169159744846","1.9211058169159744846","1.9211058169159744846","Activated","95","viper","95","1.9211058169159744846",NA,NA,"4","ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=522); GTEx--Coexpression(rank=542); Enrichr--Queries(rank=785)","889","0.32060000000000000","ARCHS4 Coexpression,0.3206"
"NFYA","-1.8918913582956928821","-1.8918913582956928821","1.8918913582956928821","Repressed","96","viper","96","1.8918913582956928821",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=1155); GTEx--Coexpression(rank=1273); ARCHS4--Coexpression(rank=1602)","1385","0.62629999999999997","ReMap ChIP-seq,0.6263"
"BATF","1.8822292722098556972","1.8822292722098556972","1.8822292722098556972","Activated","97","viper","97","1.8822292722098556972",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=245); Enrichr--Queries(rank=342); GTEx--Coexpression(rank=468)","518","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"NCOA2","1.8707756741707595172","1.8707756741707595172","1.8707756741707595172","Activated","98","viper","98","1.8707756741707595172",NA,NA,"4","ReMap--ChIP-seq(rank=101); GTEx--Coexpression(rank=979); ARCHS4--Coexpression(rank=1107); Enrichr--Queries(rank=1141)","927","0.34010000000000001","ReMap ChIP-seq,0.3401"
"CUX1","1.8685055764593812011","1.8685055764593812011","1.8685055764593812011","Activated","99","viper","99","1.8685055764593812011",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=578); Enrichr--Queries(rank=959); ARCHS4--Coexpression(rank=1134)","959","0.35970000000000002","GTEx Coexpression,0.3597"
"ZEB2","-1.8514249981028507719","-1.8514249981028507719","1.8514249981028507719","Repressed","100","viper","100","1.8514249981028507719",NA,NA,"4","Enrichr--Queries(rank=95); ReMap--ChIP-seq(rank=97); GTEx--Coexpression(rank=262); ARCHS4--Coexpression(rank=584)","276","0.06766000000000000","Enrichr Queries,0.06766"
"SP1","1.8443814551902475429","1.8443814551902475429","1.8443814551902475429","Activated","101","viper","101","1.8443814551902475429",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","0.50219999999999998","GTEx Coexpression,0.5022"
"HIF1A","1.8056545412189397570","1.8056545412189397570","1.8056545412189397570","Activated","102","viper","102","1.8056545412189397570",NA,NA,"5","Literature--ChIP-seq(rank=43); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=134); Enrichr--Queries(rank=927)","205","0.04792000000000000","GTEx Coexpression,0.04792"
"NANOG","1.7802440399015226902","1.7802440399015226902","1.7802440399015226902","Activated","103","viper","103","1.7802440399015226902",NA,NA,"6","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=511); Enrichr--Queries(rank=562); GTEx--Coexpression(rank=939)","60","0.01347000000000000","ReMap ChIP-seq,0.01347"
"KLF13","-1.7687763144262924619","-1.7687763144262924619","1.7687763144262924619","Repressed","104","viper","104","1.7687763144262924619",NA,NA,"4","ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=812)","861","0.30649999999999999","ARCHS4 Coexpression,0.3065"
"TCF7L2","1.7670559571368487095","1.7670559571368487095","1.7670559571368487095","Activated","105","viper","105","1.7670559571368487095",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=587); GTEx--Coexpression(rank=637); ARCHS4--Coexpression(rank=779)","696","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"E2F4","-1.7168370880875234441","-1.7168370880875234441","1.7168370880875234441","Repressed","106","viper","106","1.7168370880875234441",NA,NA,"6","ENCODE--ChIP-seq(rank=65); Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=257); GTEx--Coexpression(rank=685); Enrichr--Queries(rank=1310); ARCHS4--Coexpression(rank=1556)","1075","0.42630000000000001","GTEx Coexpression,0.4263"
"ESR1","1.7054431584713358738","1.7054431584713358738","1.7054431584713358738","Activated","107","viper","107","1.7054431584713358738",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=251); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=380)","79","0.01829000000000000","Literature ChIP-seq,0.01829"
"NR2F6","-1.6994426005034464211","-1.6994426005034464211","1.6994426005034464211","Repressed","108","viper","108","1.6994426005034464211",NA,NA,"4","ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=811); Enrichr--Queries(rank=1057); ARCHS4--Coexpression(rank=1194)","602","0.18520000000000000","ReMap ChIP-seq,0.1852"
"TP53","1.6908449864923995598","1.6908449864923995598","1.6908449864923995598","Activated","109","viper","109","1.6908449864923995598",NA,NA,"5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=999); GTEx--Coexpression(rank=1323); ARCHS4--Coexpression(rank=1363)","133","0.03049000000000000","Literature ChIP-seq,0.03049"
"BCL11A","1.6466629535206973589","1.6466629535206973589","1.6466629535206973589","Activated","110","viper","110","1.6466629535206973589",NA,NA,"5","ENCODE--ChIP-seq(rank=50); Enrichr--Queries(rank=178); ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=508); GTEx--Coexpression(rank=567)","459","0.12680000000000000","Enrichr Queries,0.1268"
"STAT4","-1.6439227078414300198","-1.6439227078414300198","1.6439227078414300198","Repressed","111","viper","111","1.6439227078414300198",NA,NA,"4","Literature--ChIP-seq(rank=117); Enrichr--Queries(rank=510); ARCHS4--Coexpression(rank=594); GTEx--Coexpression(rank=671)","966","0.36320000000000002","Enrichr Queries,0.3632"
"ESRRA","1.6312757295711866057","1.6312757295711866057","1.6312757295711866057","Activated","112","viper","112","1.6312757295711866057",NA,NA,"5","ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=1163); GTEx--Coexpression(rank=1291); ARCHS4--Coexpression(rank=1340)","1100","0.44069999999999998","ENCODE ChIP-seq,0.4407"
"ATF7","1.6101337259158463588","1.6101337259158463588","1.6101337259158463588","Activated","113","viper","113","1.6101337259158463588",NA,NA,"4","ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=735); GTEx--Coexpression(rank=842); Enrichr--Queries(rank=991)","677","0.21890000000000001","ReMap ChIP-seq,0.2189"
"BCL6","-1.5965113889109554535","-1.5965113889109554535","1.5965113889109554535","Repressed","114","viper","114","1.5965113889109554535",NA,NA,"5","ReMap--ChIP-seq(rank=109); Literature--ChIP-seq(rank=112); Enrichr--Queries(rank=367); ARCHS4--Coexpression(rank=439); GTEx--Coexpression(rank=457)","767","0.26140000000000002","Enrichr Queries,0.2614"
"REST","1.5928287393411224571","1.5928287393411224571","1.5928287393411224571","Activated","115","viper","115","1.5928287393411224571",NA,NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","0.01680000000000000","GTEx Coexpression,0.0168"
"NFYB","1.5704064409315339201","1.5704064409315339201","1.5704064409315339201","Activated","116","viper","116","1.5704064409315339201",NA,NA,"5","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=201); GTEx--Coexpression(rank=933); Enrichr--Queries(rank=1290); ARCHS4--Coexpression(rank=1486)","1319","0.58060000000000000","GTEx Coexpression,0.5806"
"SPIB","1.5634068080935370482","1.5634068080935370482","1.5634068080935370482","Activated","117","viper","117","1.5634068080935370482",NA,NA,"4","ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=560); Enrichr--Queries(rank=723); GTEx--Coexpression(rank=818)","934","0.34399999999999992","ARCHS4 Coexpression,0.344"
"JUN","1.5633826992362918062","1.5633826992362918062","1.5633826992362918062","Activated","118","viper","118","1.5633826992362918062",NA,NA,"6","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=43); Literature--ChIP-seq(rank=72); GTEx--Coexpression(rank=592); Enrichr--Queries(rank=649); ARCHS4--Coexpression(rank=917)","299","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"GATA3","1.5231716348818862272","1.5231716348818862272","1.5231716348818862272","Activated","119","viper","119","1.5231716348818862272",NA,NA,"6","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=73); Enrichr--Queries(rank=241); GTEx--Coexpression(rank=408); ARCHS4--Coexpression(rank=434)","250","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ELK1","-1.5209807893209037477","-1.5209807893209037477","1.5209807893209037477","Repressed","120","viper","120","1.5209807893209037477",NA,NA,"5","GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1552)","161","0.03671000000000000","GTEx Coexpression,0.03671"
"HBP1","-1.5137414847390440187","-1.5137414847390440187","1.5137414847390440187","Repressed","121","viper","121","1.5137414847390440187",NA,NA,"4","ReMap--ChIP-seq(rank=196); Enrichr--Queries(rank=829); GTEx--Coexpression(rank=989); ARCHS4--Coexpression(rank=1133)","1341","0.59050000000000002","Enrichr Queries,0.5905"
"CTCF","1.4996657572298806027","1.4996657572298806027","1.4996657572298806027","Activated","122","viper","122","1.4996657572298806027",NA,NA,"6","ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=49); Enrichr--Queries(rank=1393); GTEx--Coexpression(rank=1561); ARCHS4--Coexpression(rank=1606)","327","0.08475000000000001","ENCODE ChIP-seq,0.08475"
"CLOCK","1.4879265183924201832","1.4879265183924201832","1.4879265183924201832","Activated","123","viper","123","1.4879265183924201832",NA,NA,"5","ReMap--ChIP-seq(rank=23); Literature--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=1219); GTEx--Coexpression(rank=1227); Enrichr--Queries(rank=1280)","304","0.07743999999999999","ReMap ChIP-seq,0.07744"
"ZEB1","-1.4802711899625828895","-1.4802711899625828895","1.4802711899625828895","Repressed","124","viper","124","1.4802711899625828895",NA,NA,"5","ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=125); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=160); ReMap--ChIP-seq(rank=231)","305","0.07778000000000000","GTEx Coexpression,0.07778"
"TFAP2C","1.4758279378430241291","1.4758279378430241291","1.4758279378430241291","Activated","125","viper","125","1.4758279378430241291",NA,NA,"6","Literature--ChIP-seq(rank=56); ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=135); Enrichr--Queries(rank=191); GTEx--Coexpression(rank=339); ARCHS4--Coexpression(rank=743)","481","0.13600000000000001","Enrichr Queries,0.136"
"SMAD3","-1.4726070804178545970","-1.4726070804178545970","1.4726070804178545970","Repressed","126","viper","126","1.4726070804178545970",NA,NA,"5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=984)","487","0.13800000000000001","ReMap ChIP-seq,0.138"
"NFE2L2","1.4634914682510664630","1.4634914682510664630","1.4634914682510664630","Activated","127","viper","127","1.4634914682510664630",NA,NA,"5","Literature--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=194); ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=610); Enrichr--Queries(rank=706)","251","0.06098000000000000","Literature ChIP-seq,0.06098"
"IRF3","1.4339879804821922260","1.4339879804821922260","1.4339879804821922260","Activated","128","viper","128","1.4339879804821922260",NA,NA,"5","ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=732); GTEx--Coexpression(rank=1170); Enrichr--Queries(rank=1253)","1123","0.44960000000000000","ARCHS4 Coexpression,0.4496"
"NR4A1","1.4247619920919887271","1.4247619920919887271","1.4247619920919887271","Activated","129","viper","129","1.4247619920919887271",NA,NA,"4","ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=460); GTEx--Coexpression(rank=529); Enrichr--Queries(rank=680)","815","0.28260000000000002","ARCHS4 Coexpression,0.2826"
"SOX2","1.4111062927428685843","1.4111062927428685843","1.4111062927428685843","Activated","130","viper","130","1.4111062927428685843",NA,NA,"5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=167); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=326)","55","0.01220000000000000","Literature ChIP-seq,0.0122"
"CTCFL","-1.4106497388440937257","-1.4106497388440937257","1.4106497388440937257","Repressed","131","viper","131","1.4106497388440937257",NA,NA,"5","ReMap--ChIP-seq(rank=56); ENCODE--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=454); Enrichr--Queries(rank=582); GTEx--Coexpression(rank=1017)","610","0.18859999999999999","ReMap ChIP-seq,0.1886"
"STAT5B","1.3984957283366268310","1.3984957283366268310","1.3984957283366268310","Activated","132","viper","132","1.3984957283366268310",NA,NA,"4","ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=409); ARCHS4--Coexpression(rank=414); Enrichr--Queries(rank=967)","752","0.25430000000000003","ARCHS4 Coexpression,0.2543"
"NR1H2","1.3931978024177364972","1.3931978024177364972","1.3931978024177364972","Activated","133","viper","133","1.3931978024177364972",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=721); GTEx--Coexpression(rank=797); Enrichr--Queries(rank=1112)","436","0.12120000000000000","ReMap ChIP-seq,0.1212"
"ZNF592","1.3851525676420541888","1.3851525676420541888","1.3851525676420541888","Activated","134","viper","134","1.3851525676420541888",NA,NA,"4","ReMap--ChIP-seq(rank=132); GTEx--Coexpression(rank=1016); Enrichr--Queries(rank=1338); ARCHS4--Coexpression(rank=1409)","1111","0.44440000000000002","ReMap ChIP-seq,0.4444"
"MAZ","1.3783453999570622894","1.3783453999570622894","1.3783453999570622894","Activated","135","viper","135","1.3783453999570622894",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=1130); Enrichr--Queries(rank=1357); ARCHS4--Coexpression(rank=1511)","985","0.37290000000000001","ENCODE ChIP-seq,0.3729"
"HNF1B","1.3716328026679616148","1.3716328026679616148","1.3716328026679616148","Activated","136","viper","136","1.3716328026679616148",NA,NA,"3","ReMap--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=244); Enrichr--Queries(rank=388)","347","0.09091000000000000","ReMap ChIP-seq,0.09091"
"GFI1B","1.3660704059599173554","1.3660704059599173554","1.3660704059599173554","Activated","137","viper","137","1.3660704059599173554",NA,NA,"5","ReMap--ChIP-seq(rank=137); Literature--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=330); GTEx--Coexpression(rank=501); Enrichr--Queries(rank=746)","644","0.20269999999999999","ARCHS4 Coexpression,0.2027"
"PKNOX1","1.3285066125686049165","1.3285066125686049165","1.3285066125686049165","Activated","138","viper","138","1.3285066125686049165",NA,NA,"4","ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=703); GTEx--Coexpression(rank=866); Enrichr--Queries(rank=1007)","827","0.28960000000000002","ReMap ChIP-seq,0.2896"
"KLF1","1.3255073475486638390","1.3255073475486638390","1.3255073475486638390","Activated","139","viper","139","1.3255073475486638390",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=684); ARCHS4--Coexpression(rank=887); GTEx--Coexpression(rank=924)","880","0.31709999999999999","Literature ChIP-seq,0.3171"
"ARNTL","1.3236049073470794735","1.3236049073470794735","1.3236049073470794735","Activated","140","viper","140","1.3236049073470794735",NA,NA,"4","ARCHS4--Coexpression(rank=88); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=619); GTEx--Coexpression(rank=1121)","225","0.05405000000000000","ARCHS4 Coexpression,0.05405"
"TP63","1.3231869042914572443","1.3231869042914572443","1.3231869042914572443","Activated","141","viper","141","1.3231869042914572443",NA,NA,"5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=401)","124","0.02849000000000000","Enrichr Queries,0.02849"
"MBD1","1.2973772786207622421","1.2973772786207622421","1.2973772786207622421","Activated","142","viper","142","1.2973772786207622421",NA,NA,"3","Enrichr--Queries(rank=1082); GTEx--Coexpression(rank=1418); ARCHS4--Coexpression(rank=1586)","1531","0.77070000000000005","Enrichr Queries,0.7707"
"LYL1","1.2953871703790440506","1.2953871703790440506","1.2953871703790440506","Activated","143","viper","143","1.2953871703790440506",NA,NA,"5","ReMap--ChIP-seq(rank=66); Literature--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=239); GTEx--Coexpression(rank=504); Enrichr--Queries(rank=570)","512","0.14680000000000001","ARCHS4 Coexpression,0.1468"
"SOX9","1.2906332036832908194","1.2906332036832908194","1.2906332036832908194","Activated","144","viper","144","1.2906332036832908194",NA,NA,"5","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=83); Enrichr--Queries(rank=160); ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=216)","217","0.05098000000000000","ARCHS4 Coexpression,0.05098"
"REL","1.2451383494229288917","1.2451383494229288917","1.2451383494229288917","Activated","145","viper","145","1.2451383494229288917",NA,NA,"3","GTEx--Coexpression(rank=657); Enrichr--Queries(rank=817); ARCHS4--Coexpression(rank=870)","1050","0.40880000000000000","GTEx Coexpression,0.4088"
"STAT5A","1.2224460551144142872","1.2224460551144142872","1.2224460551144142872","Activated","146","viper","146","1.2224460551144142872",NA,NA,"6","ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=395); Enrichr--Queries(rank=414); GTEx--Coexpression(rank=774)","727","0.24260000000000001","ARCHS4 Coexpression,0.2426"
"SIX5","1.2095323148852685780","1.2095323148852685780","1.2095323148852685780","Activated","147","viper","147","1.2095323148852685780",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=282); GTEx--Coexpression(rank=684); Enrichr--Queries(rank=763); ARCHS4--Coexpression(rank=1365)","1074","0.42559999999999998","GTEx Coexpression,0.4256"
"KLF5","1.1779552393058396742","1.1779552393058396742","1.1779552393058396742","Activated","148","viper","148","1.1779552393058396742",NA,NA,"5","Literature--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=101); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=571)","256","0.06204000000000000","ARCHS4 Coexpression,0.06204"
"ETS2","-1.1710183683208712502","-1.1710183683208712502","1.1710183683208712502","Repressed","149","viper","149","1.1710183683208712502",NA,NA,"4","Literature--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=437); GTEx--Coexpression(rank=731)","593","0.18120000000000000","ARCHS4 Coexpression,0.1812"
"THAP1","1.1442071981156010096","1.1442071981156010096","1.1442071981156010096","Activated","150","viper","150","1.1442071981156010096",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=1263); GTEx--Coexpression(rank=1508); ARCHS4--Coexpression(rank=1519)","1552","0.79800000000000004","ReMap ChIP-seq,0.798"
"GLI2","1.1396535134295358027","1.1396535134295358027","1.1396535134295358027","Activated","151","viper","151","1.1396535134295358027",NA,NA,"3","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=92); GTEx--Coexpression(rank=174)","25","0.00569800000000000","Enrichr Queries,0.005698"
"MYCN","1.1346907568677828682","1.1346907568677828682","1.1346907568677828682","Activated","152","viper","152","1.1346907568677828682",NA,NA,"5","GTEx--Coexpression(rank=4); Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=223); Enrichr--Queries(rank=497); ARCHS4--Coexpression(rank=969)","11","0.00248900000000000","GTEx Coexpression,0.002489"
"PPARG","1.1296967946672034078","1.1296967946672034078","1.1296967946672034078","Activated","153","viper","153","1.1296967946672034078",NA,NA,"5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=85); Enrichr--Queries(rank=255); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=553)","463","0.12790000000000001","ReMap ChIP-seq,0.1279"
"PAX5","1.1222278107125154278","1.1222278107125154278","1.1222278107125154278","Activated","154","viper","154","1.1222278107125154278",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=597); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=921)","1019","0.39129999999999998","ARCHS4 Coexpression,0.3913"
