"TF","HD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CTCF","1.762724583956336133","1.762724583956336133","1.762724583956336133","Activated","79","viper","79","1.762724583956336133",NA,NA,"6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=98); GTEx--Coexpression(rank=1209); Enrichr--Queries(rank=1301); ARCHS4--Coexpression(rank=1472)","116","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"FOXP2","-1.717337310023185459","-1.717337310023185459","1.717337310023185459","Repressed","80","viper","80","1.717337310023185459",NA,NA,"6","GTEx--Coexpression(rank=42); ReMap--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=74); Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=356); ARCHS4--Coexpression(rank=1190)","119","0.02614000000000000","GTEx Coexpression,0.02614"
"EOMES","1.709436307804994115","1.709436307804994115","1.709436307804994115","Activated","81","viper","81","1.709436307804994115",NA,NA,"5","Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=482); GTEx--Coexpression(rank=673); ARCHS4--Coexpression(rank=964)","924","0.34329999999999999","Enrichr Queries,0.3433"
"TBX21","1.701232243844159830","1.701232243844159830","1.701232243844159830","Activated","82","viper","82","1.701232243844159830",NA,NA,"4","ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=280); GTEx--Coexpression(rank=530); Enrichr--Queries(rank=887)","570","0.17199999999999999","ARCHS4 Coexpression,0.172"
"NR1H3","1.691549401510508810","1.691549401510508810","1.691549401510508810","Activated","83","viper","83","1.691549401510508810",NA,NA,"5","Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=65); ARCHS4--Coexpression(rank=70); ReMap--ChIP-seq(rank=285); Enrichr--Queries(rank=344)","178","0.04045000000000000","GTEx Coexpression,0.04045"
"BHLHE22","-1.684020156661948153","-1.684020156661948153","1.684020156661948153","Repressed","84","viper","84","1.684020156661948153",NA,NA,"3","ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=367); GTEx--Coexpression(rank=526)","697","0.22539999999999999","ARCHS4 Coexpression,0.2254"
"REST","1.673149457873073453","1.673149457873073453","1.673149457873073453","Activated","85","viper","85","1.673149457873073453",NA,NA,"6","ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=215); Enrichr--Queries(rank=691); ARCHS4--Coexpression(rank=794)","480","0.13380000000000000","GTEx Coexpression,0.1338"
"HHEX","-1.655195424000543758","-1.655195424000543758","1.655195424000543758","Repressed","86","viper","86","1.655195424000543758",NA,NA,"4","ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=156); Enrichr--Queries(rank=448); ARCHS4--Coexpression(rank=456)","372","0.09708000000000000","GTEx Coexpression,0.09708"
"TGIF2","1.655019085282103841","1.655019085282103841","1.655019085282103841","Activated","87","viper","87","1.655019085282103841",NA,NA,"4","ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=438); Enrichr--Queries(rank=508); ARCHS4--Coexpression(rank=861)","787","0.27260000000000001","GTEx Coexpression,0.2726"
"STAT3","1.631737412251502928","1.631737412251502928","1.631737412251502928","Activated","88","viper","88","1.631737412251502928",NA,NA,"6","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=54); GTEx--Coexpression(rank=362); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=732)","525","0.15240000000000001","Literature ChIP-seq,0.1524"
"MNT","-1.590185620295645474","-1.590185620295645474","1.590185620295645474","Repressed","89","viper","89","1.590185620295645474",NA,NA,"4","ReMap--ChIP-seq(rank=120); Enrichr--Queries(rank=626); ARCHS4--Coexpression(rank=673); GTEx--Coexpression(rank=836)","1033","0.40400000000000003","ReMap ChIP-seq,0.404"
"PRDM1","1.583661321483933460","1.583661321483933460","1.583661321483933460","Activated","90","viper","90","1.583661321483933460",NA,NA,"5","ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=166); Enrichr--Queries(rank=245); GTEx--Coexpression(rank=428)","390","0.10199999999999999","ARCHS4 Coexpression,0.102"
"SOX11","1.575543242525165866","1.575543242525165866","1.575543242525165866","Activated","91","viper","91","1.575543242525165866",NA,NA,"5","Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=376); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=444)","741","0.24879999999999999","ARCHS4 Coexpression,0.2488"
"FOS","1.571493985606529309","1.571493985606529309","1.571493985606529309","Activated","92","viper","92","1.571493985606529309",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=83); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=430); ARCHS4--Coexpression(rank=792)","575","0.17490000000000000","GTEx Coexpression,0.1749"
"ELF1","1.558847701161867327","1.558847701161867327","1.558847701161867327","Activated","93","viper","93","1.558847701161867327",NA,NA,"5","ENCODE--ChIP-seq(rank=99); Literature--ChIP-seq(rank=145); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=282); GTEx--Coexpression(rank=668)","573","0.17319999999999999","ARCHS4 Coexpression,0.1732"
"NANOG","1.546491939957985062","1.546491939957985062","1.546491939957985062","Activated","94","viper","94","1.546491939957985062",NA,NA,"6","ReMap--ChIP-seq(rank=19); Literature--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=80); GTEx--Coexpression(rank=327); ARCHS4--Coexpression(rank=848); Enrichr--Queries(rank=855)","265","0.06397000000000000","ReMap ChIP-seq,0.06397"
"ARID3A","1.530128229296698894","1.530128229296698894","1.530128229296698894","Activated","95","viper","95","1.530128229296698894",NA,NA,"5","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=449); GTEx--Coexpression(rank=704); ARCHS4--Coexpression(rank=961)","878","0.31979999999999992","Enrichr Queries,0.3198"
"FOSL2","1.525304691450429795","1.525304691450429795","1.525304691450429795","Activated","96","viper","96","1.525304691450429795",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=141); ARCHS4--Coexpression(rank=347); GTEx--Coexpression(rank=585)","385","0.10040000000000000","Enrichr Queries,0.1004"
"PBX2","1.497144391151135734","1.497144391151135734","1.497144391151135734","Activated","97","viper","97","1.497144391151135734",NA,NA,"4","ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=279); Enrichr--Queries(rank=857); ARCHS4--Coexpression(rank=1372)","489","0.13800000000000001","ReMap ChIP-seq,0.138"
"PBX3","1.486176522407080869","1.486176522407080869","1.486176522407080869","Activated","98","viper","98","1.486176522407080869",NA,NA,"5","ENCODE--ChIP-seq(rank=73); GTEx--Coexpression(rank=108); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=260); ARCHS4--Coexpression(rank=296)","278","0.06721000000000001","GTEx Coexpression,0.06721"
"CEBPD","1.478208053188185822","1.478208053188185822","1.478208053188185822","Activated","99","viper","99","1.478208053188185822",NA,NA,"5","Literature--ChIP-seq(rank=79); ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=219); GTEx--Coexpression(rank=262); ARCHS4--Coexpression(rank=336)","548","0.16300000000000001","GTEx Coexpression,0.163"
"STAT5B","1.469524397559334172","1.469524397559334172","1.469524397559334172","Activated","100","viper","100","1.469524397559334172",NA,NA,"4","ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=707); GTEx--Coexpression(rank=890)","637","0.19960000000000000","ARCHS4 Coexpression,0.1996"
"E2F2","1.453810661503509793","1.453810661503509793","1.453810661503509793","Activated","101","viper","101","1.453810661503509793",NA,NA,"3","ARCHS4--Coexpression(rank=699); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=1332)","1075","0.42940000000000000","ARCHS4 Coexpression,0.4294"
"NFYB","1.450959510872270153","1.450959510872270153","1.450959510872270153","Activated","102","viper","102","1.450959510872270153",NA,NA,"5","ENCODE--ChIP-seq(rank=79); GTEx--Coexpression(rank=186); ReMap--ChIP-seq(rank=238); Enrichr--Queries(rank=1237); ARCHS4--Coexpression(rank=1391)","435","0.11570000000000000","GTEx Coexpression,0.1157"
"KDM5B","1.450228740335194777","1.450228740335194777","1.450228740335194777","Activated","103","viper","103","1.450228740335194777",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=132); Literature--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=195); GTEx--Coexpression(rank=1384)","448","0.11980000000000000","ARCHS4 Coexpression,0.1198"
"ELF3","1.448482192703225424","1.448482192703225424","1.448482192703225424","Activated","104","viper","104","1.448482192703225424",NA,NA,"4","ReMap--ChIP-seq(rank=22); GTEx--Coexpression(rank=162); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=427)","299","0.07407000000000000","ReMap ChIP-seq,0.07407"
"E2F4","1.437728552555765482","1.437728552555765482","1.437728552555765482","Activated","105","viper","105","1.437728552555765482",NA,NA,"6","ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=160); ReMap--ChIP-seq(rank=237); GTEx--Coexpression(rank=966); ARCHS4--Coexpression(rank=1227); Enrichr--Queries(rank=1288)","996","0.38140000000000002","ENCODE ChIP-seq,0.3814"
"ZBTB7A","-1.430131537954566934","-1.430131537954566934","1.430131537954566934","Repressed","106","viper","106","1.430131537954566934",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=12); GTEx--Coexpression(rank=295); ARCHS4--Coexpression(rank=550); Enrichr--Queries(rank=878)","77","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"ETS2","1.423210543735212719","1.423210543735212719","1.423210543735212719","Activated","107","viper","107","1.423210543735212719",NA,NA,"4","GTEx--Coexpression(rank=118); Literature--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=145); Enrichr--Queries(rank=205)","297","0.07343000000000000","GTEx Coexpression,0.07343"
"HMBOX1","-1.418201872181493295","-1.418201872181493295","1.418201872181493295","Repressed","108","viper","108","1.418201872181493295",NA,NA,"4","ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=544); ARCHS4--Coexpression(rank=888)","915","0.33850000000000002","GTEx Coexpression,0.3385"
"SPIB","1.398613771314600518","1.398613771314600518","1.398613771314600518","Activated","109","viper","109","1.398613771314600518",NA,NA,"4","ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=565); ARCHS4--Coexpression(rank=570); Enrichr--Queries(rank=1005)","936","0.35010000000000002","ARCHS4 Coexpression,0.3501"
"TAL1","-1.398496767663920837","-1.398496767663920837","1.398496767663920837","Repressed","110","viper","110","1.398496767663920837",NA,NA,"6","ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=222); Enrichr--Queries(rank=582)","427","0.11360000000000001","ARCHS4 Coexpression,0.1136"
"HIF1A","1.385521291663336596","1.385521291663336596","1.385521291663336596","Activated","111","viper","111","1.385521291663336596",NA,NA,"5","ReMap--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=54); Literature--ChIP-seq(rank=88); GTEx--Coexpression(rank=138); Enrichr--Queries(rank=649)","153","0.03317000000000000","ARCHS4 Coexpression,0.03317"
"ZNF740","1.384175433210481865","1.384175433210481865","1.384175433210481865","Activated","112","viper","112","1.384175433210481865",NA,NA,"4","ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=1103); ARCHS4--Coexpression(rank=1258); GTEx--Coexpression(rank=1403)","561","0.16839999999999999","ReMap ChIP-seq,0.1684"
"MBD1","1.380600986043861944","1.380600986043861944","1.380600986043861944","Activated","113","viper","113","1.380600986043861944",NA,NA,"3","Enrichr--Queries(rank=993); ARCHS4--Coexpression(rank=1254); GTEx--Coexpression(rank=1544)","1491","0.70730000000000004","Enrichr Queries,0.7073"
"ZNF639","1.379991099502238194","1.379991099502238194","1.379991099502238194","Activated","114","viper","114","1.379991099502238194",NA,NA,"4","ReMap--ChIP-seq(rank=186); GTEx--Coexpression(rank=618); ARCHS4--Coexpression(rank=1022); Enrichr--Queries(rank=1329)","1002","0.38460000000000000","GTEx Coexpression,0.3846"
"HNF1B","-1.371712520196283869","-1.371712520196283869","1.371712520196283869","Repressed","115","viper","115","1.371712520196283869",NA,NA,"3","ReMap--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=217); Enrichr--Queries(rank=346)","479","0.13330000000000000","ARCHS4 Coexpression,0.1333"
"REL","1.365050746344105281","1.365050746344105281","1.365050746344105281","Activated","116","viper","116","1.365050746344105281",NA,NA,"3","GTEx--Coexpression(rank=257); Enrichr--Queries(rank=258); ARCHS4--Coexpression(rank=480)","539","0.15989999999999999","GTEx Coexpression,0.1599"
"SOX13","1.363632176024329956","1.363632176024329956","1.363632176024329956","Activated","117","viper","117","1.363632176024329956",NA,NA,"4","GTEx--Coexpression(rank=121); ReMap--ChIP-seq(rank=141); Enrichr--Queries(rank=227); ARCHS4--Coexpression(rank=413)","303","0.07530000000000001","GTEx Coexpression,0.0753"
"ZEB1","-1.355991927808689379","-1.355991927808689379","1.355991927808689379","Repressed","118","viper","118","1.355991927808689379",NA,NA,"5","Enrichr--Queries(rank=41); ENCODE--ChIP-seq(rank=65); GTEx--Coexpression(rank=119); ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=518)","133","0.02920000000000000","Enrichr Queries,0.0292"
"MAFG","1.352371883778554329","1.352371883778554329","1.352371883778554329","Activated","119","viper","119","1.352371883778554329",NA,NA,"4","ReMap--ChIP-seq(rank=210); Enrichr--Queries(rank=575); GTEx--Coexpression(rank=798); ARCHS4--Coexpression(rank=1406)","1045","0.40949999999999998","Enrichr Queries,0.4095"
"ZEB2","-1.342037131163939412","-1.342037131163939412","1.342037131163939412","Repressed","120","viper","120","1.342037131163939412",NA,NA,"4","Enrichr--Queries(rank=89); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=238); GTEx--Coexpression(rank=864)","262","0.06339000000000000","Enrichr Queries,0.06339"
"KLF9","-1.319613413106377253","-1.319613413106377253","1.319613413106377253","Repressed","121","viper","121","1.319613413106377253",NA,NA,"4","ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=315); Enrichr--Queries(rank=379)","354","0.09023000000000000","GTEx Coexpression,0.09023"
"SMAD3","-1.316093343621627554","-1.316093343621627554","1.316093343621627554","Repressed","122","viper","122","1.316093343621627554",NA,NA,"5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=43); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=203); ARCHS4--Coexpression(rank=362)","219","0.05051000000000000","ReMap ChIP-seq,0.05051"
"CEBPG","1.293136855095955884","1.293136855095955884","1.293136855095955884","Activated","123","viper","123","1.293136855095955884",NA,NA,"4","ReMap--ChIP-seq(rank=88); ARCHS4--Coexpression(rank=547); Enrichr--Queries(rank=633); GTEx--Coexpression(rank=809)","838","0.29630000000000001","ReMap ChIP-seq,0.2963"
"GATA6","1.287273405163077200","1.287273405163077200","1.287273405163077200","Activated","124","viper","124","1.287273405163077200",NA,NA,"5","ReMap--ChIP-seq(rank=29); Literature--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=137); GTEx--Coexpression(rank=337)","325","0.08108000000000000","ARCHS4 Coexpression,0.08108"
"ASCL1","1.281479435525668675","1.281479435525668675","1.281479435525668675","Activated","125","viper","125","1.281479435525668675",NA,NA,"4","ReMap--ChIP-seq(rank=39); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=906); ARCHS4--Coexpression(rank=1340)","341","0.08649999999999999","GTEx Coexpression,0.0865"
"SNAPC4","-1.268850500705384743","-1.268850500705384743","1.268850500705384743","Repressed","126","viper","126","1.268850500705384743",NA,NA,"4","ReMap--ChIP-seq(rank=275); GTEx--Coexpression(rank=1105); ARCHS4--Coexpression(rank=1203); Enrichr--Queries(rank=1247)","1467","0.68759999999999999","GTEx Coexpression,0.6876"
"HINFP","1.266626131826267709","1.266626131826267709","1.266626131826267709","Activated","127","viper","127","1.266626131826267709",NA,NA,"3","ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=794); ARCHS4--Coexpression(rank=1113)","1201","0.49409999999999998","GTEx Coexpression,0.4941"
"MBD2","-1.265294066194365241","-1.265294066194365241","1.265294066194365241","Repressed","128","viper","128","1.265294066194365241",NA,NA,"4","ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=747); GTEx--Coexpression(rank=833); Enrichr--Queries(rank=1079)","122","0.02694000000000000","ReMap ChIP-seq,0.02694"
"NFIC","-1.251244677790843030","-1.251244677790843030","1.251244677790843030","Repressed","129","viper","129","1.251244677790843030",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=494); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=683)","363","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"HNF4G","1.251212103852988422","1.251212103852988422","1.251212103852988422","Activated","130","viper","130","1.251212103852988422",NA,NA,"5","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=250); Enrichr--Queries(rank=285); GTEx--Coexpression(rank=632)","279","0.06734000000000000","ReMap ChIP-seq,0.06734"
"ELK4","1.249765784608765085","1.249765784608765085","1.249765784608765085","Activated","131","viper","131","1.249765784608765085",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=255); GTEx--Coexpression(rank=563); ARCHS4--Coexpression(rank=661); Enrichr--Queries(rank=929)","937","0.35030000000000000","GTEx Coexpression,0.3503"
"NR5A2","1.234523696703221152","1.234523696703221152","1.234523696703221152","Activated","132","viper","132","1.234523696703221152",NA,NA,"4","Enrichr--Queries(rank=112); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=772); ARCHS4--Coexpression(rank=1143)","322","0.07976999999999999","Enrichr Queries,0.07977"
"POU2F1","1.212425711830141806","1.212425711830141806","1.212425711830141806","Activated","133","viper","133","1.212425711830141806",NA,NA,"4","ReMap--ChIP-seq(rank=279); ARCHS4--Coexpression(rank=525); Enrichr--Queries(rank=677); GTEx--Coexpression(rank=883)","885","0.32250000000000001","ARCHS4 Coexpression,0.3225"
"CREM","-1.211903267344702551","-1.211903267344702551","1.211903267344702551","Repressed","134","viper","134","1.211903267344702551",NA,NA,"5","Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=1586)","1003","0.38510000000000000","ARCHS4 Coexpression,0.3851"
"SIX5","1.202898899863903415","1.202898899863903415","1.202898899863903415","Activated","135","viper","135","1.202898899863903415",NA,NA,"5","ENCODE--ChIP-seq(rank=108); GTEx--Coexpression(rank=249); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=377); ARCHS4--Coexpression(rank=563)","530","0.15490000000000001","GTEx Coexpression,0.1549"
"HBP1","-1.184398106192878775","-1.184398106192878775","1.184398106192878775","Repressed","136","viper","136","1.184398106192878775",NA,NA,"4","ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=299); Enrichr--Queries(rank=527); ARCHS4--Coexpression(rank=959)","607","0.18609999999999999","GTEx Coexpression,0.1861"
"PRDM14","1.178549818715344477","1.178549818715344477","1.178549818715344477","Activated","137","viper","137","1.178549818715344477",NA,NA,"5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=537); Enrichr--Queries(rank=866); GTEx--Coexpression(rank=1330)","60","0.01347000000000000","ReMap ChIP-seq,0.01347"
"FOXJ2","1.178508253554001906","1.178508253554001906","1.178508253554001906","Activated","138","viper","138","1.178508253554001906",NA,NA,"4","ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=294); ARCHS4--Coexpression(rank=366); Enrichr--Queries(rank=515)","597","0.18290000000000001","GTEx Coexpression,0.1829"
"HOXA9","1.169609047354079445","1.169609047354079445","1.169609047354079445","Activated","139","viper","139","1.169609047354079445",NA,NA,"4","Enrichr--Queries(rank=162); GTEx--Coexpression(rank=218); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=454)","433","0.11540000000000000","Enrichr Queries,0.1154"
"NR4A1","1.159108295793125798","1.159108295793125798","1.159108295793125798","Activated","140","viper","140","1.159108295793125798",NA,NA,"4","ARCHS4--Coexpression(rank=50); ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=303); Enrichr--Queries(rank=426)","142","0.03071000000000000","ARCHS4 Coexpression,0.03071"
"ERG","1.157918100272927076","1.157918100272927076","1.157918100272927076","Activated","141","viper","141","1.157918100272927076",NA,NA,"5","GTEx--Coexpression(rank=22); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=244); Enrichr--Queries(rank=339)","63","0.01369000000000000","GTEx Coexpression,0.01369"
"NFYA","-1.153564668119033687","-1.153564668119033687","1.153564668119033687","Repressed","142","viper","142","1.153564668119033687",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=876); GTEx--Coexpression(rank=1426); ARCHS4--Coexpression(rank=1613)","1390","0.62390000000000001","Enrichr Queries,0.6239"
"EHF","-1.147358592687451884","-1.147358592687451884","1.147358592687451884","Repressed","143","viper","143","1.147358592687451884",NA,NA,"4","ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=120); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=300)","298","0.07371000000000000","ARCHS4 Coexpression,0.07371"
"ZNF592","1.128075567523614708","1.128075567523614708","1.128075567523614708","Activated","144","viper","144","1.128075567523614708",NA,NA,"4","ReMap--ChIP-seq(rank=47); GTEx--Coexpression(rank=976); Enrichr--Queries(rank=1323); ARCHS4--Coexpression(rank=1335)","536","0.15820000000000001","ReMap ChIP-seq,0.1582"
"CREB3","1.127806588849814329","1.127806588849814329","1.127806588849814329","Activated","145","viper","145","1.127806588849814329",NA,NA,"4","ReMap--ChIP-seq(rank=112); GTEx--Coexpression(rank=562); Enrichr--Queries(rank=869); ARCHS4--Coexpression(rank=926)","935","0.34970000000000001","GTEx Coexpression,0.3497"
"HSF1","-1.116047021291672436","-1.116047021291672436","1.116047021291672436","Repressed","146","viper","146","1.116047021291672436",NA,NA,"5","ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=87); Literature--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=1114); GTEx--Coexpression(rank=1565)","829","0.29289999999999999","ReMap ChIP-seq,0.2929"
"FOXO3","1.098939642975802711","1.098939642975802711","1.098939642975802711","Activated","147","viper","147","1.098939642975802711",NA,NA,"4","Literature--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=333); Enrichr--Queries(rank=533); GTEx--Coexpression(rank=1113)","647","0.20449999999999999","ARCHS4 Coexpression,0.2045"
"AHR","1.092768560364981489","1.092768560364981489","1.092768560364981489","Activated","148","viper","148","1.092768560364981489",NA,NA,"5","GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=29); Enrichr--Queries(rank=97); ARCHS4--Coexpression(rank=131); ReMap--ChIP-seq(rank=147)","18","0.00373400000000000","GTEx Coexpression,0.003734"
"ZBTB33","1.078155172583764587","1.078155172583764587","1.078155172583764587","Activated","149","viper","149","1.078155172583764587",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=633); Enrichr--Queries(rank=1074); ARCHS4--Coexpression(rank=1456)","1017","0.39389999999999997","GTEx Coexpression,0.3939"
"ZNF217","1.063952561821456033","1.063952561821456033","1.063952561821456033","Activated","150","viper","150","1.063952561821456033",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=412); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=860)","84","0.01829000000000000","Literature ChIP-seq,0.01829"
"PKNOX1","1.056942614855030049","1.056942614855030049","1.056942614855030049","Activated","151","viper","151","1.056942614855030049",NA,NA,"4","ReMap--ChIP-seq(rank=45); Enrichr--Queries(rank=651); GTEx--Coexpression(rank=1120); ARCHS4--Coexpression(rank=1347)","521","0.15150000000000000","ReMap ChIP-seq,0.1515"
"RUNX1","1.056089881100447769","1.056089881100447769","1.056089881100447769","Activated","152","viper","152","1.056089881100447769",NA,NA,"5","Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=89); Enrichr--Queries(rank=167); GTEx--Coexpression(rank=430); ARCHS4--Coexpression(rank=697)","445","0.11890000000000001","Enrichr Queries,0.1189"
"KMT2A","-1.051857435286789322","-1.051857435286789322","1.051857435286789322","Repressed","153","viper","153","1.051857435286789322",NA,NA,"3","ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=470); GTEx--Coexpression(rank=605)","815","0.28870000000000001","ARCHS4 Coexpression,0.2887"
"SNAI2","1.017943679789491629","1.017943679789491629","1.017943679789491629","Activated","154","viper","154","1.017943679789491629",NA,NA,"4","ARCHS4--Coexpression(rank=3); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=127); GTEx--Coexpression(rank=277)","7","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"STAT4","-1.014972303285134547","-1.014972303285134547","1.014972303285134547","Repressed","155","viper","155","1.014972303285134547",NA,NA,"4","Literature--ChIP-seq(rank=70); Enrichr--Queries(rank=469); ARCHS4--Coexpression(rank=524); GTEx--Coexpression(rank=849)","884","0.32190000000000002","ARCHS4 Coexpression,0.3219"
"POU2F2","1.014435167047509356","1.014435167047509356","1.014435167047509356","Activated","156","viper","156","1.014435167047509356",NA,NA,"5","ENCODE--ChIP-seq(rank=117); GTEx--Coexpression(rank=176); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=371); Enrichr--Queries(rank=414)","413","0.10950000000000000","GTEx Coexpression,0.1095"
"STAT5A","0.998208182219820772","0.998208182219820772","0.998208182219820772","Activated","157","viper","157","0.998208182219820772",NA,NA,"6","Literature--ChIP-seq(rank=62); ENCODE--ChIP-seq(rank=85); GTEx--Coexpression(rank=146); ARCHS4--Coexpression(rank=151); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=429)","356","0.09085000000000000","GTEx Coexpression,0.09085"
"TFAP2C","-0.993138221160966284","-0.993138221160966284","0.993138221160966284","Repressed","158","viper","158","0.993138221160966284",NA,NA,"6","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=58); Enrichr--Queries(rank=198); GTEx--Coexpression(rank=208); ARCHS4--Coexpression(rank=329)","436","0.11590000000000000","Literature ChIP-seq,0.1159"
"TWIST1","0.971840079504388221","0.971840079504388221","0.971840079504388221","Activated","159","viper","159","0.971840079504388221",NA,NA,"4","ARCHS4--Coexpression(rank=5); ReMap--ChIP-seq(rank=24); GTEx--Coexpression(rank=134); Enrichr--Queries(rank=186)","13","0.00307100000000000","ARCHS4 Coexpression,0.003071"
