"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TFAP4","3.34421242052159862","3.34421242052159862","3.34421242052159862","Activated","35","viper","35","3.34421242052159862",NA,NA,"4","ReMap--ChIP-seq(rank=37); Enrichr--Queries(rank=53); GTEx--Coexpression(rank=918); ARCHS4--Coexpression(rank=1443)","146","0.03775000000000000","Enrichr Queries,0.03775"
"NEUROD1","3.34375091970653138","3.34375091970653138","3.34375091970653138","Activated","36","viper","36","3.34375091970653138",NA,NA,"4","ReMap--ChIP-seq(rank=70); GTEx--Coexpression(rank=699); ARCHS4--Coexpression(rank=863); Enrichr--Queries(rank=1172)","774","0.23569999999999999","ReMap ChIP-seq,0.2357"
"SIX5","3.25705733263911856","3.25705733263911856","3.25705733263911856","Activated","37","viper","37","3.25705733263911856",NA,NA,"5","Enrichr--Queries(rank=66); ReMap--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=191); GTEx--Coexpression(rank=748)","178","0.04701000000000000","Enrichr Queries,0.04701"
"NR2C2","-3.25518405499175278","-3.25518405499175278","3.25518405499175278","Repressed","38","viper","38","3.25518405499175278",NA,NA,"5","ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=966); Enrichr--Queries(rank=1381); GTEx--Coexpression(rank=1495)","1385","0.59340000000000004","ARCHS4 Coexpression,0.5934"
"E2F6","-3.20118936605167992","-3.20118936605167992","3.20118936605167992","Repressed","39","viper","39","3.20118936605167992",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=1168)","169","0.04377000000000000","ReMap ChIP-seq,0.04377"
"MBD1","-3.09568455585007341","-3.09568455585007341","3.09568455585007341","Repressed","40","viper","40","3.09568455585007341",NA,NA,"3","Enrichr--Queries(rank=1150); ARCHS4--Coexpression(rank=1202); GTEx--Coexpression(rank=1289)","1525","0.73829999999999996","ARCHS4 Coexpression,0.7383"
"NFYB","-2.95620973241900220","-2.95620973241900220","2.95620973241900220","Repressed","41","viper","41","2.95620973241900220",NA,NA,"5","ARCHS4--Coexpression(rank=12); ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=56); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=1258)","26","0.00737100000000000","ARCHS4 Coexpression,0.007371"
"PBX2","2.93529421649547473","2.93529421649547473","2.93529421649547473","Activated","42","viper","42","2.93529421649547473",NA,NA,"4","ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=869); GTEx--Coexpression(rank=960); ARCHS4--Coexpression(rank=968)","1384","0.59260000000000002","ReMap ChIP-seq,0.5926"
"THAP11","2.92505896013243571","2.92505896013243571","2.92505896013243571","Activated","43","viper","43","2.92505896013243571",NA,NA,"5","Literature--ChIP-seq(rank=146); ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=764); GTEx--Coexpression(rank=1060); ARCHS4--Coexpression(rank=1064)","1321","0.54420000000000002","Enrichr Queries,0.5442"
"STAT1","2.90742486312862214","2.90742486312862214","2.90742486312862214","Activated","44","viper","44","2.90742486312862214",NA,NA,"6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=17); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=614); ARCHS4--Coexpression(rank=656)","40","0.01058000000000000","GTEx Coexpression,0.01058"
"ARNTL","2.90210883635460970","2.90210883635460970","2.90210883635460970","Activated","45","viper","45","2.90210883635460970",NA,NA,"4","ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=717); ARCHS4--Coexpression(rank=1066); GTEx--Coexpression(rank=1073)","1269","0.51070000000000004","Enrichr Queries,0.5107"
"ZBTB33","-2.88705238744588399","-2.88705238744588399","2.88705238744588399","Repressed","46","viper","46","2.88705238744588399",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=617); GTEx--Coexpression(rank=684); Enrichr--Queries(rank=1143)","969","0.32660000000000000","ReMap ChIP-seq,0.3266"
"MXI1","-2.87631894094792884","-2.87631894094792884","2.87631894094792884","Repressed","47","viper","47","2.87631894094792884",NA,NA,"5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=410); ARCHS4--Coexpression(rank=1074); GTEx--Coexpression(rank=1158)","858","0.27120000000000000","ENCODE ChIP-seq,0.2712"
"NR4A1","2.84655815378786636","2.84655815378786636","2.84655815378786636","Activated","48","viper","48","2.84655815378786636",NA,NA,"4","ARCHS4--Coexpression(rank=59); GTEx--Coexpression(rank=72); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=260)","138","0.03624000000000000","ARCHS4 Coexpression,0.03624"
"REST","-2.83969078417908882","-2.83969078417908882","2.83969078417908882","Repressed","49","viper","49","2.83969078417908882",NA,NA,"6","ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=136); Enrichr--Queries(rank=1037)","241","0.06098000000000000","GTEx Coexpression,0.06098"
"RUNX1","2.83687349156362201","2.83687349156362201","2.83687349156362201","Activated","50","viper","50","2.83687349156362201",NA,NA,"5","Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=484); Enrichr--Queries(rank=509); ARCHS4--Coexpression(rank=510)","922","0.30120000000000002","GTEx Coexpression,0.3012"
"TEAD2","2.80536688941319934","2.80536688941319934","2.80536688941319934","Activated","51","viper","51","2.80536688941319934",NA,NA,"4","Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=187); ReMap--ChIP-seq(rank=200); GTEx--Coexpression(rank=814)","182","0.04772000000000000","Enrichr Queries,0.04772"
"ARID3A","2.79654214742657725","2.79654214742657725","2.79654214742657725","Activated","52","viper","52","2.79654214742657725",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=174); ARCHS4--Coexpression(rank=711); GTEx--Coexpression(rank=1378)","468","0.12390000000000000","Enrichr Queries,0.1239"
"ZKSCAN1","2.72503655659783472","2.72503655659783472","2.72503655659783472","Activated","53","viper","53","2.72503655659783472",NA,NA,"5","ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=68); GTEx--Coexpression(rank=720); ARCHS4--Coexpression(rank=1152); Enrichr--Queries(rank=1257)","351","0.09091000000000000","ReMap ChIP-seq,0.09091"
"BATF","2.65478529498139304","2.65478529498139304","2.65478529498139304","Activated","54","viper","54","2.65478529498139304",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=287); ARCHS4--Coexpression(rank=782); Enrichr--Queries(rank=946); GTEx--Coexpression(rank=1237)","1232","0.48030000000000000","ARCHS4 Coexpression,0.4803"
"RFX5","2.61800814225129841","2.61800814225129841","2.61800814225129841","Activated","55","viper","55","2.61800814225129841",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=133); Enrichr--Queries(rank=392); GTEx--Coexpression(rank=556); ARCHS4--Coexpression(rank=720)","873","0.27920000000000000","Enrichr Queries,0.2792"
"ZNF143","2.61725874563969718","2.61725874563969718","2.61725874563969718","Activated","56","viper","56","2.61725874563969718",NA,NA,"5","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=88); Enrichr--Queries(rank=234); ARCHS4--Coexpression(rank=808); GTEx--Coexpression(rank=1506)","603","0.16500000000000001","ReMap ChIP-seq,0.165"
"CREM","2.59343134685772236","2.59343134685772236","2.59343134685772236","Activated","57","viper","57","2.59343134685772236",NA,NA,"5","Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=1168); GTEx--Coexpression(rank=1466)","736","0.21940000000000001","Enrichr Queries,0.2194"
"ETS1","2.58931253350426704","2.58931253350426704","2.58931253350426704","Activated","58","viper","58","2.58931253350426704",NA,NA,"6","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=84); Literature--ChIP-seq(rank=160); Enrichr--Queries(rank=418); GTEx--Coexpression(rank=1059); ARCHS4--Coexpression(rank=1075)","882","0.28280000000000000","ReMap ChIP-seq,0.2828"
"KDM5B","2.56560916472236977","2.56560916472236977","2.56560916472236977","Activated","59","viper","59","2.56560916472236977",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=70); ENCODE--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=472); GTEx--Coexpression(rank=1093)","268","0.06734000000000000","ReMap ChIP-seq,0.06734"
"STAT3","2.54904988579223568","2.54904988579223568","2.54904988579223568","Activated","60","viper","60","2.54904988579223568",NA,NA,"6","ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=100); GTEx--Coexpression(rank=264); ARCHS4--Coexpression(rank=588); Enrichr--Queries(rank=853)","598","0.16430000000000000","GTEx Coexpression,0.1643"
"KLF6","2.53520117020904356","2.53520117020904356","2.53520117020904356","Activated","61","viper","61","2.53520117020904356",NA,NA,"4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=204); ARCHS4--Coexpression(rank=398); GTEx--Coexpression(rank=1234)","239","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ELK1","2.52152912875645363","2.52152912875645363","2.52152912875645363","Activated","62","viper","62","2.52152912875645363",NA,NA,"5","GTEx--Coexpression(rank=94); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=1540)","229","0.05849000000000000","GTEx Coexpression,0.05849"
"ESR2","2.49182846113254497","2.49182846113254497","2.49182846113254497","Activated","63","viper","63","2.49182846113254497",NA,NA,"5","Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=625); GTEx--Coexpression(rank=1049); ARCHS4--Coexpression(rank=1353)","657","0.18900000000000000","Literature ChIP-seq,0.189"
"NFKB2","-2.48548691911098230","-2.48548691911098230","2.48548691911098230","Repressed","64","viper","64","2.48548691911098230",NA,NA,"4","ReMap--ChIP-seq(rank=266); ARCHS4--Coexpression(rank=400); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=1009)","802","0.24570000000000000","ARCHS4 Coexpression,0.2457"
"FOXM1","-2.47567310043441102","-2.47567310043441102","2.47567310043441102","Repressed","65","viper","65","2.47567310043441102",NA,NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=5); Enrichr--Queries(rank=6); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=46)","10","0.00311100000000000","GTEx Coexpression,0.003111"
"EGR1","2.46321322361167505","2.46321322361167505","2.46321322361167505","Activated","66","viper","66","2.46321322361167505",NA,NA,"6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=188); GTEx--Coexpression(rank=217); ARCHS4--Coexpression(rank=953)","187","0.04878000000000000","Literature ChIP-seq,0.04878"
"TBX21","2.43927507578459313","2.43927507578459313","2.43927507578459313","Activated","67","viper","67","2.43927507578459313",NA,NA,"4","ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=952); Enrichr--Queries(rank=1272); GTEx--Coexpression(rank=1502)","1377","0.58479999999999999","ARCHS4 Coexpression,0.5848"
