"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"GATA4","0.41034070280310186","0.41034070280310186","0.41034070280310186","Activated","229","viper","229","0.41034070280310186",NA,NA,"5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=405); Enrichr--Queries(rank=657); GTEx--Coexpression(rank=880)","641","0.18179999999999999","ReMap ChIP-seq,0.1818"
"MEIS2","-0.40874192823399946","-0.40874192823399946","0.40874192823399946","Repressed","230","viper","230","0.40874192823399946",NA,NA,"4","ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=676); GTEx--Coexpression(rank=750); ARCHS4--Coexpression(rank=1077)","1210","0.46670000000000000","GTEx Coexpression,0.4667"
"CDX2","0.40299016930016091","0.40299016930016091","0.40299016930016091","Activated","231","viper","231","0.40299016930016091",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=602); ARCHS4--Coexpression(rank=851); GTEx--Coexpression(rank=1103)","1057","0.37800000000000000","Literature ChIP-seq,0.378"
"ZEB1","-0.39726024392632286","-0.39726024392632286","0.39726024392632286","Repressed","232","viper","232","0.39726024392632286",NA,NA,"5","ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=60); GTEx--Coexpression(rank=427); Enrichr--Queries(rank=519); ARCHS4--Coexpression(rank=1090)","621","0.17169999999999999","ReMap ChIP-seq,0.1717"
"TCF3","0.39329985169268822","0.39329985169268822","0.39329985169268822","Activated","233","viper","233","0.39329985169268822",NA,NA,"6","Literature--ChIP-seq(rank=19); GTEx--Coexpression(rank=52); ReMap--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=73); Enrichr--Queries(rank=206); ARCHS4--Coexpression(rank=428)","124","0.03236000000000000","GTEx Coexpression,0.03236"
"TCF7","-0.38268379288917381","-0.38268379288917381","0.38268379288917381","Repressed","234","viper","234","0.38268379288917381",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=233); Enrichr--Queries(rank=696); ARCHS4--Coexpression(rank=1008); GTEx--Coexpression(rank=1491)","541","0.14630000000000001","Literature ChIP-seq,0.1463"
"YY1","-0.36765135150058142","-0.36765135150058142","0.36765135150058142","Repressed","235","viper","235","0.36765135150058142",NA,NA,"6","ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=104); Literature--ChIP-seq(rank=108); ARCHS4--Coexpression(rank=368); GTEx--Coexpression(rank=593); Enrichr--Queries(rank=1009)","755","0.22600000000000001","ARCHS4 Coexpression,0.226"
"ERG","-0.33931150777853730","-0.33931150777853730","0.33931150777853730","Repressed","236","viper","236","0.33931150777853730",NA,NA,"5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=179); ARCHS4--Coexpression(rank=206); Enrichr--Queries(rank=650)","426","0.11140000000000001","GTEx Coexpression,0.1114"
"ZBED1","-0.32564939206655108","-0.32564939206655108","0.32564939206655108","Repressed","237","viper","237","0.32564939206655108",NA,NA,"4","ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=348); GTEx--Coexpression(rank=860); ARCHS4--Coexpression(rank=894)","805","0.24790000000000001","Enrichr Queries,0.2479"
"AR","-0.31084015299523410","-0.31084015299523410","0.31084015299523410","Repressed","238","viper","238","0.31084015299523410",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=341); Enrichr--Queries(rank=782); GTEx--Coexpression(rank=1160)","140","0.03659000000000000","Literature ChIP-seq,0.03659"
"GATA1","-0.30862221864862471","-0.30862221864862471","0.30862221864862471","Repressed","239","viper","239","0.30862221864862471",NA,NA,"6","ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=292); Enrichr--Queries(rank=493); ARCHS4--Coexpression(rank=842); GTEx--Coexpression(rank=1599)","1010","0.35110000000000002","Enrichr Queries,0.3511"
"ZNF274","-0.27343550467782457","-0.27343550467782457","0.27343550467782457","Repressed","240","viper","240","0.27343550467782457",NA,NA,"6","ENCODE--ChIP-seq(rank=99); Literature--ChIP-seq(rank=161); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=335); GTEx--Coexpression(rank=583); ARCHS4--Coexpression(rank=1239)","783","0.23860000000000001","Enrichr Queries,0.2386"
"ETV4","-0.25881391529234299","-0.25881391529234299","0.25881391529234299","Repressed","241","viper","241","0.25881391529234299",NA,NA,"4","Enrichr--Queries(rank=34); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=47); ARCHS4--Coexpression(rank=307)","93","0.02422000000000000","Enrichr Queries,0.02422"
"NFE2L2","-0.24534993709180361","-0.24534993709180361","0.24534993709180361","Repressed","242","viper","242","0.24534993709180361",NA,NA,"5","Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=110); GTEx--Coexpression(rank=115); ARCHS4--Coexpression(rank=166); Enrichr--Queries(rank=316)","286","0.07156000000000000","GTEx Coexpression,0.07156"
"NR5A2","-0.23605906523013409","-0.23605906523013409","0.23605906523013409","Repressed","243","viper","243","0.23605906523013409",NA,NA,"4","ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=180); ARCHS4--Coexpression(rank=1026); GTEx--Coexpression(rank=1129)","484","0.12820000000000001","Enrichr Queries,0.1282"
"SPIB","-0.23435932057340880","-0.23435932057340880","0.23435932057340880","Repressed","244","viper","244","0.23435932057340880",NA,NA,"4","GTEx--Coexpression(rank=68); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=765); ARCHS4--Coexpression(rank=942)","164","0.04231000000000000","GTEx Coexpression,0.04231"
"ELF3","0.19925186826072488","0.19925186826072488","0.19925186826072488","Activated","245","viper","245","0.19925186826072488",NA,NA,"4","ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=114); GTEx--Coexpression(rank=117); ARCHS4--Coexpression(rank=224)","291","0.07281000000000000","GTEx Coexpression,0.07281"
"MYB","-0.18381695777128809","-0.18381695777128809","0.18381695777128809","Repressed","246","viper","246","0.18381695777128809",NA,NA,"6","Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=78); ENCODE--ChIP-seq(rank=107); Literature--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=483)","46","0.01211000000000000","Enrichr Queries,0.01211"
"FOXO1","0.17925766407352409","0.17925766407352409","0.17925766407352409","Activated","247","viper","247","0.17925766407352409",NA,NA,"5","Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=409); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=944)","824","0.25450000000000000","GTEx Coexpression,0.2545"
"PRDM1","-0.17126914886022018","-0.17126914886022018","0.17126914886022018","Repressed","248","viper","248","0.17126914886022018",NA,NA,"5","ENCODE--ChIP-seq(rank=51); GTEx--Coexpression(rank=119); ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=285); ARCHS4--Coexpression(rank=926)","296","0.07405000000000000","GTEx Coexpression,0.07405"
"KLF4","-0.16785744396012839","-0.16785744396012839","0.16785744396012839","Repressed","249","viper","249","0.16785744396012839",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=107); Enrichr--Queries(rank=239); GTEx--Coexpression(rank=464)","225","0.05724000000000000","ReMap ChIP-seq,0.05724"
"HMBOX1","0.15486493561443471","0.15486493561443471","0.15486493561443471","Activated","250","viper","250","0.15486493561443471",NA,NA,"4","ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=453); Enrichr--Queries(rank=1300); ARCHS4--Coexpression(rank=1454)","880","0.28189999999999998","GTEx Coexpression,0.2819"
"SMAD1","0.13338344751512204","0.13338344751512204","0.13338344751512204","Activated","251","viper","251","0.13338344751512204",NA,NA,"5","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=724); ARCHS4--Coexpression(rank=1281); GTEx--Coexpression(rank=1381)","799","0.24390000000000001","Literature ChIP-seq,0.2439"
"HSF1","-0.12704156065891270","-0.12704156065891270","0.12704156065891270","Repressed","252","viper","252","0.12704156065891270",NA,NA,"5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=1135); GTEx--Coexpression(rank=1539)","193","0.05051000000000000","ReMap ChIP-seq,0.05051"
"NCOA1","-0.10607849856655284","-0.10607849856655284","0.10607849856655284","Repressed","253","viper","253","0.10607849856655284",NA,NA,"4","ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=563); GTEx--Coexpression(rank=1190); Enrichr--Queries(rank=1362)","998","0.34580000000000000","ARCHS4 Coexpression,0.3458"
"NFIC","0.10233984101023080","0.10233984101023080","0.10233984101023080","Activated","254","viper","254","0.10233984101023080",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=203); Enrichr--Queries(rank=507); GTEx--Coexpression(rank=875)","472","0.12470000000000001","ARCHS4 Coexpression,0.1247"
"HOXA9","-0.09861842358161010","-0.09861842358161010","0.09861842358161010","Repressed","255","viper","255","0.09861842358161010",NA,NA,"4","ARCHS4--Coexpression(rank=264); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=501); GTEx--Coexpression(rank=1035)","590","0.16220000000000001","ARCHS4 Coexpression,0.1622"
"SOX6","-0.09737367078331161","-0.09737367078331161","0.09737367078331161","Repressed","256","viper","256","0.09737367078331161",NA,NA,"4","ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=817); GTEx--Coexpression(rank=859); ARCHS4--Coexpression(rank=1294)","1305","0.53449999999999998","GTEx Coexpression,0.5345"
"ATF1","-0.09570753811000904","-0.09570753811000904","0.09570753811000904","Repressed","257","viper","257","0.09570753811000904",NA,NA,"5","ARCHS4--Coexpression(rank=85); ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=137); Enrichr--Queries(rank=394); GTEx--Coexpression(rank=1031)","201","0.05221000000000000","ARCHS4 Coexpression,0.05221"
"RXRA","0.09463567237289208","0.09463567237289208","0.09463567237289208","Activated","258","viper","258","0.09463567237289208",NA,NA,"6","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=78); Literature--ChIP-seq(rank=128); Enrichr--Queries(rank=338); ARCHS4--Coexpression(rank=456); GTEx--Coexpression(rank=1063)","789","0.24070000000000000","Enrichr Queries,0.2407"
"TCF7L2","0.08748612667767319","0.08748612667767319","0.08748612667767319","Activated","259","viper","259","0.08748612667767319",NA,NA,"6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=156); GTEx--Coexpression(rank=381); ARCHS4--Coexpression(rank=410); Enrichr--Queries(rank=721)","38","0.01010000000000000","ReMap ChIP-seq,0.0101"
"USF1","-0.08061727890136830","-0.08061727890136830","0.08061727890136830","Repressed","260","viper","260","0.08061727890136830",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=92); Enrichr--Queries(rank=637); ARCHS4--Coexpression(rank=696); GTEx--Coexpression(rank=1304)","940","0.30980000000000002","ReMap ChIP-seq,0.3098"
"PPARG","-0.07944217677044585","-0.07944217677044585","0.07944217677044585","Repressed","261","viper","261","0.07944217677044585",NA,NA,"5","Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=125); Enrichr--Queries(rank=425); ARCHS4--Coexpression(rank=540); GTEx--Coexpression(rank=565)","927","0.30270000000000002","Enrichr Queries,0.3027"
"FLI1","0.05639832782916744","0.05639832782916744","0.05639832782916744","Activated","262","viper","262","0.05639832782916744",NA,NA,"6","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=29); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=1192); Enrichr--Queries(rank=1211); ARCHS4--Coexpression(rank=1222)","376","0.09764000000000000","ReMap ChIP-seq,0.09764"
"FOXJ2","0.04886564354805144","0.04886564354805144","0.04886564354805144","Activated","263","viper","263","0.04886564354805144",NA,NA,"4","ReMap--ChIP-seq(rank=214); ARCHS4--Coexpression(rank=384); GTEx--Coexpression(rank=488); Enrichr--Queries(rank=945)","776","0.23590000000000000","ARCHS4 Coexpression,0.2359"
"XBP1","0.04405770492720505","0.04405770492720505","0.04405770492720505","Activated","264","viper","264","0.04405770492720505",NA,NA,"4","ReMap--ChIP-seq(rank=242); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=385); GTEx--Coexpression(rank=1106)","686","0.19960000000000000","ARCHS4 Coexpression,0.1996"
"MEIS1","-0.04280936587674169","-0.04280936587674169","0.04280936587674169","Repressed","265","viper","265","0.04280936587674169",NA,NA,"5","Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=294); GTEx--Coexpression(rank=314); Enrichr--Queries(rank=778); ARCHS4--Coexpression(rank=1129)","674","0.19539999999999999","GTEx Coexpression,0.1954"
"DUX4","0.02285609494021954","0.02285609494021954","0.02285609494021954","Activated","266","viper","266","0.02285609494021954",NA,NA,"2","ReMap--ChIP-seq(rank=295); ARCHS4--Coexpression(rank=1403)","1606","0.86180000000000001","ARCHS4 Coexpression,0.8618"
