"TF","MD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF6","2.1138391575573489689","2.1138391575573489689","2.1138391575573489689","Activated","78","viper","78","2.1138391575573489689",NA,NA,"4","ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=643); ARCHS4--Coexpression(rank=860); GTEx--Coexpression(rank=1196)","1208","0.434300000000000019","ReMap ChIP-seq,0.4343"
"TFAP2C","2.1003243743798032384","2.1003243743798032384","2.1003243743798032384","Activated","79","viper","79","2.1003243743798032384",NA,NA,"6","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=74); ENCODE--ChIP-seq(rank=81); Enrichr--Queries(rank=117); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=436)","318","0.079269999999999993","Literature ChIP-seq,0.07927"
"NCOA1","2.0880039049077785407","2.0880039049077785407","2.0880039049077785407","Activated","80","viper","80","2.0880039049077785407",NA,NA,"4","ReMap--ChIP-seq(rank=273); Enrichr--Queries(rank=749); ARCHS4--Coexpression(rank=757); GTEx--Coexpression(rank=988)","1261","0.465000000000000024","ARCHS4 Coexpression,0.465"
"ZNF217","2.0640216445332586481","2.0640216445332586481","2.0640216445332586481","Activated","81","viper","81","2.0640216445332586481",NA,NA,"6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=21); Enrichr--Queries(rank=817); ARCHS4--Coexpression(rank=829); GTEx--Coexpression(rank=1176)","60","0.013469999999999999","ReMap ChIP-seq,0.01347"
"MEIS1","2.0409767350284444554","2.0409767350284444554","2.0409767350284444554","Activated","82","viper","82","2.0409767350284444554",NA,NA,"5","Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=133); Enrichr--Queries(rank=169); ARCHS4--Coexpression(rank=412); GTEx--Coexpression(rank=759)","460","0.120399999999999993","Enrichr Queries,0.1204"
"TFDP1","-2.0210412014573915229","-2.0210412014573915229","2.0210412014573915229","Repressed","83","viper","83","2.0210412014573915229",NA,NA,"4","ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=735); ARCHS4--Coexpression(rank=1211); GTEx--Coexpression(rank=1428)","1345","0.523499999999999965","Enrichr Queries,0.5235"
"ARNTL","1.9765577630916721930","1.9765577630916721930","1.9765577630916721930","Activated","84","viper","84","1.9765577630916721930",NA,NA,"4","ReMap--ChIP-seq(rank=32); Enrichr--Queries(rank=183); ARCHS4--Coexpression(rank=621); GTEx--Coexpression(rank=1487)","413","0.107700000000000004","ReMap ChIP-seq,0.1077"
"CUX1","1.9018804878587285412","1.9018804878587285412","1.9018804878587285412","Activated","85","viper","85","1.9018804878587285412",NA,NA,"6","ReMap--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=144); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=536); ARCHS4--Coexpression(rank=1238)","399","0.104400000000000007","ReMap ChIP-seq,0.1044"
"MAX","1.8927848590307443377","1.8927848590307443377","1.8927848590307443377","Activated","86","viper","86","1.8927848590307443377",NA,NA,"5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=364); Enrichr--Queries(rank=1148); GTEx--Coexpression(rank=1399)","755","0.223599999999999993","ARCHS4 Coexpression,0.2236"
"ELF5","-1.8873457037782184198","-1.8873457037782184198","1.8873457037782184198","Repressed","87","viper","87","1.8873457037782184198",NA,NA,"5","ReMap--ChIP-seq(rank=25); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=32); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=229)","88","0.019910000000000001","GTEx Coexpression,0.01991"
"NFYA","-1.8145451497537199437","-1.8145451497537199437","1.8145451497537199437","Repressed","88","viper","88","1.8145451497537199437",NA,NA,"5","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=515); GTEx--Coexpression(rank=1163); ARCHS4--Coexpression(rank=1262)","1068","0.366800000000000015","Enrichr Queries,0.3668"
"GRHL2","1.8143802341843249248","1.8143802341843249248","1.8143802341843249248","Activated","89","viper","89","1.8143802341843249248",NA,NA,"5","ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=37); ARCHS4--Coexpression(rank=66); Literature--ChIP-seq(rank=73); GTEx--Coexpression(rank=231)","112","0.026349999999999998","Enrichr Queries,0.02635"
"GABPA","1.8104841700951241901","1.8104841700951241901","1.8104841700951241901","Activated","90","viper","90","1.8104841700951241901",NA,NA,"6","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=285); GTEx--Coexpression(rank=536); Enrichr--Queries(rank=688); ARCHS4--Coexpression(rank=1483)","746","0.219500000000000001","Literature ChIP-seq,0.2195"
"MEF2C","1.8071260852009627396","1.8071260852009627396","1.8071260852009627396","Activated","91","viper","91","1.8071260852009627396",NA,NA,"5","Enrichr--Queries(rank=43); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=247); GTEx--Coexpression(rank=1451)","133","0.030630000000000001","Enrichr Queries,0.03063"
"ESR1","1.8046574781160578116","1.8046574781160578116","1.8046574781160578116","Activated","92","viper","92","1.8046574781160578116",NA,NA,"6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=652)","228","0.054879999999999998","Literature ChIP-seq,0.05488"
"KLF1","1.7950321224911356399","1.7950321224911356399","1.7950321224911356399","Activated","93","viper","93","1.7950321224911356399",NA,NA,"5","Literature--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=290); Enrichr--Queries(rank=757); GTEx--Coexpression(rank=1240); ARCHS4--Coexpression(rank=1256)","1081","0.371999999999999997","Literature ChIP-seq,0.372"
"RUNX1","1.7683242707405413263","1.7683242707405413263","1.7683242707405413263","Activated","94","viper","94","1.7683242707405413263",NA,NA,"5","Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=265); Enrichr--Queries(rank=451); GTEx--Coexpression(rank=487); ARCHS4--Coexpression(rank=780)","927","0.302999999999999992","GTEx Coexpression,0.303"
"ZNF592","1.7411722565136136254","1.7411722565136136254","1.7411722565136136254","Activated","95","viper","95","1.7411722565136136254",NA,NA,"4","ReMap--ChIP-seq(rank=82); GTEx--Coexpression(rank=676); ARCHS4--Coexpression(rank=1216); Enrichr--Queries(rank=1373)","879","0.276100000000000012","ReMap ChIP-seq,0.2761"
"HSF1","-1.7380849881156237302","-1.7380849881156237302","1.7380849881156237302","Repressed","96","viper","96","1.7380849881156237302",NA,NA,"5","ENCODE--ChIP-seq(rank=65); Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=449); ARCHS4--Coexpression(rank=1568)","887","0.279399999999999982","GTEx Coexpression,0.2794"
"KDM5B","1.7357328444507944543","1.7357328444507944543","1.7357328444507944543","Activated","97","viper","97","1.7357328444507944543",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=95); ReMap--ChIP-seq(rank=142); Literature--ChIP-seq(rank=149); GTEx--Coexpression(rank=1074)","239","0.058349999999999999","ARCHS4 Coexpression,0.05835"
"SREBF2","-1.7315606814133019942","-1.7315606814133019942","1.7315606814133019942","Repressed","98","viper","98","1.7315606814133019942",NA,NA,"6","GTEx--Coexpression(rank=112); ENCODE--ChIP-seq(rank=117); Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=933); Enrichr--Queries(rank=935)","287","0.069699999999999998","GTEx Coexpression,0.0697"
"ATF6","-1.7230771171285168553","-1.7230771171285168553","1.7230771171285168553","Repressed","99","viper","99","1.7230771171285168553",NA,NA,"3","ARCHS4--Coexpression(rank=276); Enrichr--Queries(rank=989); GTEx--Coexpression(rank=1119)","606","0.169500000000000012","ARCHS4 Coexpression,0.1695"
"USF2","1.7034505501826753271","1.7034505501826753271","1.7034505501826753271","Activated","100","viper","100","1.7034505501826753271",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=656); Enrichr--Queries(rank=1117); GTEx--Coexpression(rank=1606)","1150","0.402899999999999980","ARCHS4 Coexpression,0.4029"
"FOXM1","-1.6731560663363334029","-1.6731560663363334029","1.6731560663363334029","Repressed","101","viper","101","1.6731560663363334029",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=1344); ARCHS4--Coexpression(rank=1367); GTEx--Coexpression(rank=1431)","720","0.207300000000000012","Literature ChIP-seq,0.2073"
"ZEB2","-1.6493512190010160001","-1.6493512190010160001","1.6493512190010160001","Repressed","102","viper","102","1.6493512190010160001",NA,NA,"4","ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=186); GTEx--Coexpression(rank=614); ARCHS4--Coexpression(rank=798)","497","0.132500000000000007","Enrichr Queries,0.1325"
"MXI1","-1.6269886108030640059","-1.6269886108030640059","1.6269886108030640059","Repressed","103","viper","103","1.6269886108030640059",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=455); ARCHS4--Coexpression(rank=722); GTEx--Coexpression(rank=875)","974","0.324099999999999999","Enrichr Queries,0.3241"
"POU2F1","1.6194336711784143024","1.6194336711784143024","1.6194336711784143024","Activated","104","viper","104","1.6194336711784143024",NA,NA,"4","ARCHS4--Coexpression(rank=97); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=442); Enrichr--Queries(rank=745)","246","0.059580000000000001","ARCHS4 Coexpression,0.05958"
"ETS2","-1.6164722635825561348","-1.6164722635825561348","1.6164722635825561348","Repressed","105","viper","105","1.6164722635825561348",NA,NA,"4","Literature--ChIP-seq(rank=106); Enrichr--Queries(rank=486); GTEx--Coexpression(rank=511); ARCHS4--Coexpression(rank=1339)","961","0.318000000000000005","GTEx Coexpression,0.318"
"PAX5","1.6141048808741416121","1.6141048808741416121","1.6141048808741416121","Activated","106","viper","106","1.6141048808741416121",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=490); ARCHS4--Coexpression(rank=835); Enrichr--Queries(rank=897)","934","0.304900000000000004","GTEx Coexpression,0.3049"
"FOXL2","-1.5853541736415754926","-1.5853541736415754926","1.5853541736415754926","Repressed","107","viper","107","1.5853541736415754926",NA,NA,"3","ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=397); GTEx--Coexpression(rank=601)","203","0.049750000000000003","ARCHS4 Coexpression,0.04975"
"NEUROD1","1.5777236677636030659","1.5777236677636030659","1.5777236677636030659","Activated","108","viper","108","1.5777236677636030659",NA,NA,"4","GTEx--Coexpression(rank=113); ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=543); Enrichr--Queries(rank=1261)","290","0.070319999999999994","GTEx Coexpression,0.07032"
"HNF1A","-1.5713674764495040304","-1.5713674764495040304","1.5713674764495040304","Repressed","109","viper","109","1.5713674764495040304",NA,NA,"3","ARCHS4--Coexpression(rank=536); Enrichr--Queries(rank=649); GTEx--Coexpression(rank=1346)","984","0.329199999999999993","ARCHS4 Coexpression,0.3292"
"ZNF384","1.5474955559119756288","1.5474955559119756288","1.5474955559119756288","Activated","110","viper","110","1.5474955559119756288",NA,NA,"5","ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=1049); Enrichr--Queries(rank=1330); ARCHS4--Coexpression(rank=1570)","707","0.203399999999999997","ENCODE ChIP-seq,0.2034"
"NCOA2","1.5376722882468065734","1.5376722882468065734","1.5376722882468065734","Activated","111","viper","111","1.5376722882468065734",NA,NA,"4","ReMap--ChIP-seq(rank=204); GTEx--Coexpression(rank=789); Enrichr--Queries(rank=946); ARCHS4--Coexpression(rank=1498)","1301","0.490999999999999992","GTEx Coexpression,0.491"
"PPARA","1.5295020525139315648","1.5295020525139315648","1.5295020525139315648","Activated","112","viper","112","1.5295020525139315648",NA,NA,"3","Enrichr--Queries(rank=480); ARCHS4--Coexpression(rank=678); GTEx--Coexpression(rank=1005)","1016","0.341899999999999982","Enrichr Queries,0.3419"
"E2F6","-1.5046542416253625429","-1.5046542416253625429","1.5046542416253625429","Repressed","113","viper","113","1.5046542416253625429",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=688); Enrichr--Queries(rank=868); GTEx--Coexpression(rank=909)","1186","0.422599999999999976","ARCHS4 Coexpression,0.4226"
"MYCN","-1.5004982033930225338","-1.5004982033930225338","1.5004982033930225338","Repressed","114","viper","114","1.5004982033930225338",NA,NA,"5","Literature--ChIP-seq(rank=89); GTEx--Coexpression(rank=100); Enrichr--Queries(rank=187); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=330)","257","0.062230000000000001","GTEx Coexpression,0.06223"
"STAT5A","1.4922434277090530497","1.4922434277090530497","1.4922434277090530497","Activated","115","viper","115","1.4922434277090530497",NA,NA,"6","ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=275); Enrichr--Queries(rank=517); ARCHS4--Coexpression(rank=1427)","611","0.171100000000000002","GTEx Coexpression,0.1711"
"ETS1","1.4870317175909220087","1.4870317175909220087","1.4870317175909220087","Activated","116","viper","116","1.4870317175909220087",NA,NA,"6","ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=227); ARCHS4--Coexpression(rank=260); GTEx--Coexpression(rank=624)","577","0.159700000000000009","ARCHS4 Coexpression,0.1597"
"FOXA2","-1.4851115438870425844","-1.4851115438870425844","1.4851115438870425844","Repressed","117","viper","117","1.4851115438870425844",NA,NA,"6","ENCODE--ChIP-seq(rank=55); Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=409); ARCHS4--Coexpression(rank=483); GTEx--Coexpression(rank=1053)","913","0.291300000000000003","Enrichr Queries,0.2913"
"CTCF","1.4841177568130479170","1.4841177568130479170","1.4841177568130479170","Activated","118","viper","118","1.4841177568130479170",NA,NA,"6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=524); Enrichr--Queries(rank=895); GTEx--Coexpression(rank=1423)","145","0.033900000000000000","ENCODE ChIP-seq,0.0339"
"NFATC1","1.4792478962780288843","1.4792478962780288843","1.4792478962780288843","Activated","119","viper","119","1.4792478962780288843",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=260); Enrichr--Queries(rank=321); GTEx--Coexpression(rank=1110); ARCHS4--Coexpression(rank=1328)","767","0.228599999999999998","Enrichr Queries,0.2286"
"TCF7L2","1.4636221627798333689","1.4636221627798333689","1.4636221627798333689","Activated","120","viper","120","1.4636221627798333689",NA,NA,"6","ENCODE--ChIP-seq(rank=25); GTEx--Coexpression(rank=33); Literature--ChIP-seq(rank=33); Enrichr--Queries(rank=205); ReMap--ChIP-seq(rank=216); ARCHS4--Coexpression(rank=228)","91","0.020539999999999999","GTEx Coexpression,0.02054"
"GFI1B","1.4315521000296809184","1.4315521000296809184","1.4315521000296809184","Activated","121","viper","121","1.4315521000296809184",NA,NA,"5","ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=354); Enrichr--Queries(rank=758); GTEx--Coexpression(rank=1140)","741","0.217400000000000010","ARCHS4 Coexpression,0.2174"
"NANOG","1.4293744273000246192","1.4293744273000246192","1.4293744273000246192","Activated","122","viper","122","1.4293744273000246192",NA,NA,"6","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=168); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=1576)","154","0.036589999999999998","Literature ChIP-seq,0.03659"
"E2F3","-1.4087303597992029136","-1.4087303597992029136","1.4087303597992029136","Repressed","123","viper","123","1.4087303597992029136",NA,NA,"3","Enrichr--Queries(rank=461); ARCHS4--Coexpression(rank=760); GTEx--Coexpression(rank=1151)","983","0.328299999999999981","Enrichr Queries,0.3283"
"E2F2","-1.4070250712347838196","-1.4070250712347838196","1.4070250712347838196","Repressed","124","viper","124","1.4070250712347838196",NA,NA,"3","ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=1171); GTEx--Coexpression(rank=1181)","1337","0.518399999999999972","ARCHS4 Coexpression,0.5184"
"STAT5B","1.3955739564100277939","1.3955739564100277939","1.3955739564100277939","Activated","125","viper","125","1.3955739564100277939",NA,NA,"4","ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=718); Enrichr--Queries(rank=1189); GTEx--Coexpression(rank=1225)","1085","0.373699999999999977","ReMap ChIP-seq,0.3737"
"SP2","1.3897381795464858190","1.3897381795464858190","1.3897381795464858190","Activated","126","viper","126","1.3897381795464858190",NA,NA,"5","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=292); ARCHS4--Coexpression(rank=819); Enrichr--Queries(rank=1289); GTEx--Coexpression(rank=1309)","1319","0.503099999999999992","ARCHS4 Coexpression,0.5031"
"LHX2","1.3829616733008942564","1.3829616733008942564","1.3829616733008942564","Activated","127","viper","127","1.3829616733008942564",NA,NA,"4","ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=97); GTEx--Coexpression(rank=871); ARCHS4--Coexpression(rank=1119)","285","0.069089999999999999","Enrichr Queries,0.06909"
"ZNF24","-1.3623175055999827698","-1.3623175055999827698","1.3623175055999827698","Repressed","128","viper","128","1.3623175055999827698",NA,NA,"4","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=576); ARCHS4--Coexpression(rank=1139)","519","0.141399999999999998","ReMap ChIP-seq,0.1414"
"RELA","1.3621842103802632717","1.3621842103802632717","1.3621842103802632717","Activated","129","viper","129","1.3621842103802632717",NA,NA,"6","ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=221); GTEx--Coexpression(rank=808); Enrichr--Queries(rank=1152); ARCHS4--Coexpression(rank=1475)","935","0.305099999999999982","ENCODE ChIP-seq,0.3051"
"SMAD5","-1.3582591172969467053","-1.3582591172969467053","1.3582591172969467053","Repressed","130","viper","130","1.3582591172969467053",NA,NA,"4","ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=635); ARCHS4--Coexpression(rank=982); GTEx--Coexpression(rank=989)","1239","0.452299999999999980","Enrichr Queries,0.4523"
"ZBTB11","-1.3435181491411622989","-1.3435181491411622989","1.3435181491411622989","Repressed","131","viper","131","1.3435181491411622989",NA,NA,"4","ReMap--ChIP-seq(rank=158); ARCHS4--Coexpression(rank=1135); Enrichr--Queries(rank=1184); GTEx--Coexpression(rank=1357)","1357","0.532000000000000028","ReMap ChIP-seq,0.532"
"ATF3","-1.3365607363056728474","-1.3365607363056728474","1.3365607363056728474","Repressed","132","viper","132","1.3365607363056728474",NA,NA,"6","ENCODE--ChIP-seq(rank=99); Literature--ChIP-seq(rank=128); ARCHS4--Coexpression(rank=241); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=646); Enrichr--Queries(rank=707)","540","0.147999999999999993","ARCHS4 Coexpression,0.148"
"HMBOX1","-1.3238806701383472042","-1.3238806701383472042","1.3238806701383472042","Repressed","133","viper","133","1.3238806701383472042",NA,NA,"4","ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=372); Enrichr--Queries(rank=500); ARCHS4--Coexpression(rank=1132)","776","0.231500000000000011","GTEx Coexpression,0.2315"
"ATF2","-1.3197342529880902173","-1.3197342529880902173","1.3197342529880902173","Repressed","134","viper","134","1.3197342529880902173",NA,NA,"5","ReMap--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=90); Enrichr--Queries(rank=1181); GTEx--Coexpression(rank=1347); ARCHS4--Coexpression(rank=1524)","451","0.117800000000000002","ReMap ChIP-seq,0.1178"
"AR","-1.3160657812761793473","-1.3160657812761793473","1.3160657812761793473","Repressed","135","viper","135","1.3160657812761793473",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=225); Enrichr--Queries(rank=285); GTEx--Coexpression(rank=884)","390","0.101000000000000006","ReMap ChIP-seq,0.101"
"NR1H3","1.2885375860568417661","1.2885375860568417661","1.2885375860568417661","Activated","136","viper","136","1.2885375860568417661",NA,NA,"5","GTEx--Coexpression(rank=87); Literature--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=154); ARCHS4--Coexpression(rank=486)","226","0.054140000000000001","GTEx Coexpression,0.05414"
"ESR2","1.2766166482944214522","1.2766166482944214522","1.2766166482944214522","Activated","137","viper","137","1.2766166482944214522",NA,NA,"5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=101); Enrichr--Queries(rank=873); ARCHS4--Coexpression(rank=932); GTEx--Coexpression(rank=1544)","182","0.043770000000000003","ReMap ChIP-seq,0.04377"
"ELF1","1.2556884808196941972","1.2556884808196941972","1.2556884808196941972","Activated","138","viper","138","1.2556884808196941972",NA,NA,"5","ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=778); GTEx--Coexpression(rank=1173)","1282","0.477899999999999991","ARCHS4 Coexpression,0.4779"
"MYBL2","1.2396186336578813858","1.2396186336578813858","1.2396186336578813858","Activated","139","viper","139","1.2396186336578813858",NA,NA,"6","ENCODE--ChIP-seq(rank=114); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=1315); Enrichr--Queries(rank=1322); GTEx--Coexpression(rank=1339)","1593","0.807699999999999974","ARCHS4 Coexpression,0.8077"
"MBD1","-1.2216141689942936477","-1.2216141689942936477","1.2216141689942936477","Repressed","140","viper","140","1.2216141689942936477",NA,NA,"3","GTEx--Coexpression(rank=1082); Enrichr--Queries(rank=1132); ARCHS4--Coexpression(rank=1512)","1518","0.673300000000000010","GTEx Coexpression,0.6733"
"RUNX3","1.2130557444559664226","1.2130557444559664226","1.2130557444559664226","Activated","141","viper","141","1.2130557444559664226",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=869); Enrichr--Queries(rank=1203); GTEx--Coexpression(rank=1238)","1152","0.404000000000000026","ReMap ChIP-seq,0.404"
"IRF9","1.2106911174527550390","1.2106911174527550390","1.2106911174527550390","Activated","142","viper","142","1.2106911174527550390",NA,NA,"4","ReMap--ChIP-seq(rank=87); GTEx--Coexpression(rank=376); Enrichr--Queries(rank=400); ARCHS4--Coexpression(rank=461)","783","0.234000000000000014","GTEx Coexpression,0.234"
"HBP1","-1.1906034548387531835","-1.1906034548387531835","1.1906034548387531835","Repressed","143","viper","143","1.1906034548387531835",NA,NA,"4","ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=861); GTEx--Coexpression(rank=1279)","1290","0.483399999999999996","ARCHS4 Coexpression,0.4834"
"OTX2","1.1716847348034857834","1.1716847348034857834","1.1716847348034857834","Activated","144","viper","144","1.1716847348034857834",NA,NA,"4","GTEx--Coexpression(rank=66); ReMap--ChIP-seq(rank=88); ARCHS4--Coexpression(rank=715); Enrichr--Queries(rank=787)","170","0.041070000000000002","GTEx Coexpression,0.04107"
"HNF4G","1.1690258038573060340","1.1690258038573060340","1.1690258038573060340","Activated","145","viper","145","1.1690258038573060340",NA,NA,"5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=183); ARCHS4--Coexpression(rank=195); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=492)","458","0.119800000000000004","ARCHS4 Coexpression,0.1198"
"ZKSCAN1","1.1602680569173799974","1.1602680569173799974","1.1602680569173799974","Activated","146","viper","146","1.1602680569173799974",NA,NA,"5","ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=254); Enrichr--Queries(rank=719); ARCHS4--Coexpression(rank=797); GTEx--Coexpression(rank=1398)","682","0.194899999999999990","ENCODE ChIP-seq,0.1949"
"EPAS1","1.1599798524775626340","1.1599798524775626340","1.1599798524775626340","Activated","147","viper","147","1.1599798524775626340",NA,NA,"4","ARCHS4--Coexpression(rank=23); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=120)","63","0.014130000000000000","ARCHS4 Coexpression,0.01413"
"MAF","1.1532484392923578742","1.1532484392923578742","1.1532484392923578742","Activated","148","viper","148","1.1532484392923578742",NA,NA,"4","Enrichr--Queries(rank=181); ARCHS4--Coexpression(rank=224); ReMap--ChIP-seq(rank=228); GTEx--Coexpression(rank=243)","490","0.128899999999999987","Enrichr Queries,0.1289"
"FOSL1","-1.1437159035332253865","-1.1437159035332253865","1.1437159035332253865","Repressed","149","viper","149","1.1437159035332253865",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=37); GTEx--Coexpression(rank=200); ARCHS4--Coexpression(rank=249); Enrichr--Queries(rank=681)","245","0.059319999999999998","ENCODE ChIP-seq,0.05932"
"BHLHE40","-1.1365420055471726624","-1.1365420055471726624","1.1365420055471726624","Repressed","150","viper","150","1.1365420055471726624",NA,NA,"4","ENCODE--ChIP-seq(rank=58); GTEx--Coexpression(rank=144); ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=502)","349","0.089609999999999995","GTEx Coexpression,0.08961"
"STAT2","1.1310162110979231631","1.1310162110979231631","1.1310162110979231631","Activated","151","viper","151","1.1310162110979231631",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=210); Enrichr--Queries(rank=414); GTEx--Coexpression(rank=870)","361","0.093219999999999997","ENCODE ChIP-seq,0.09322"
"SP1","-1.1256568047564869950","-1.1256568047564869950","1.1256568047564869950","Repressed","152","viper","152","1.1256568047564869950",NA,NA,"5","ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=760); Enrichr--Queries(rank=926); ARCHS4--Coexpression(rank=1413)","1275","0.472899999999999987","GTEx Coexpression,0.4729"
"ATF1","1.1236623161722758546","1.1236623161722758546","1.1236623161722758546","Activated","153","viper","153","1.1236623161722758546",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=723); GTEx--Coexpression(rank=812); Enrichr--Queries(rank=990)","1226","0.444099999999999995","ARCHS4 Coexpression,0.4441"
"DUX4","1.1158632185783718960","1.1158632185783718960","1.1158632185783718960","Activated","154","viper","154","1.1158632185783718960",NA,NA,"2","ReMap--ChIP-seq(rank=270); ARCHS4--Coexpression(rank=1368)","1604","0.840300000000000047","ARCHS4 Coexpression,0.8403"
