"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","MSX1","HD_ALL","0.58533595147310291","0.259814896966830799485","MSX1","133","trrust","133","0.58533595147310291","0.259814896966830799485",NA,"","3","Enrichr--Queries(rank=200); GTEx--Coexpression(rank=655); ARCHS4--Coexpression(rank=1211)","538","0.14249999999999999","Enrichr Queries,0.1425"
"ora","NFKB2","HD_ALL","0.58533595147310291","0.259814896966830799485","NFKB2","134","trrust","134","0.58533595147310291","0.259814896966830799485",NA,"","4","ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=175); ARCHS4--Coexpression(rank=300); Enrichr--Queries(rank=530)","437","0.10890000000000000","GTEx Coexpression,0.1089"
"ora","SFPQ","HD_ALL","0.58533595147310291","0.259814896966830799485","SFPQ","135","trrust","135","0.58533595147310291","0.259814896966830799485",NA,"","0","",NA,NA,NA
"ora","SOX6","HD_ALL","0.58533595147310291","0.259814896966830799485","SOX6","136","trrust","136","0.58533595147310291","0.259814896966830799485",NA,"","4","ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=334); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=969)","482","0.12460000000000000","ReMap ChIP-seq,0.1246"
"ora","WWTR1","HD_ALL","0.58533595147310291","0.259814896966830799485","WWTR1","137","trrust","137","0.58533595147310291","0.259814896966830799485",NA,"","0","",NA,NA,NA
"ora","ZBTB7A","HD_ALL","0.58533595147310291","0.259814896966830799485","ZBTB7A","138","trrust","138","0.58533595147310291","0.259814896966830799485",NA,"","5","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=157); ARCHS4--Coexpression(rank=316); Enrichr--Queries(rank=1043)","399","0.09770000000000000","GTEx Coexpression,0.0977"
"ora","ZEB2","HD_ALL","0.58533595147310291","0.259814896966830799485","ZEB2","139","trrust","139","0.58533595147310291","0.259814896966830799485",NA,"","4","ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=657); GTEx--Coexpression(rank=673); Enrichr--Queries(rank=875)","1188","0.40360000000000001","ARCHS4 Coexpression,0.4036"
"ora","POU2F1","HD_ALL","0.54679043841420572","0.283928874955399368485","POU2F1","140","trrust","140","0.54679043841420572","0.283928874955399368485",NA,"","4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=834); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1299)","1268","0.46129999999999999","ReMap ChIP-seq,0.4613"
"ora","APEX1","HD_ALL","0.52867775694202690","0.296020810279146506794","APEX1","141","trrust","141","0.52867775694202690","0.296020810279146506794",NA,"","0","",NA,NA,NA
"ora","HEY1","HD_ALL","0.52867775694202690","0.296020810279146506794","HEY1","142","trrust","142","0.52867775694202690","0.296020810279146506794",NA,"","3","ARCHS4--Coexpression(rank=85); Enrichr--Queries(rank=126); GTEx--Coexpression(rank=649)","207","0.05221000000000000","ARCHS4 Coexpression,0.05221"
"ora","ING1","HD_ALL","0.52867775694202690","0.296020810279146506794","ING1","143","trrust","143","0.52867775694202690","0.296020810279146506794",NA,"","0","",NA,NA,NA
"ora","MZF1","HD_ALL","0.52867775694202690","0.296020810279146506794","MZF1","144","trrust","144","0.52867775694202690","0.296020810279146506794",NA,"","3","ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=320); Enrichr--Queries(rank=955)","498","0.12839999999999999","ARCHS4 Coexpression,0.1284"
"ora","NCOA3","HD_ALL","0.52867775694202690","0.296020810279146506794","NCOA3","145","trrust","145","0.52867775694202690","0.296020810279146506794",NA,"","4","ARCHS4--Coexpression(rank=20); ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=567); GTEx--Coexpression(rank=1065)","53","0.01229000000000000","ARCHS4 Coexpression,0.01229"
"ora","NCOR1","HD_ALL","0.52867775694202690","0.296020810279146506794","NCOR1","146","trrust","146","0.52867775694202690","0.296020810279146506794",NA,"","0","",NA,NA,NA
"ora","NR2F2","HD_ALL","0.52867775694202690","0.296020810279146506794","NR2F2","147","trrust","147","0.52867775694202690","0.296020810279146506794",NA,"","5","ENCODE--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=43); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=264); GTEx--Coexpression(rank=348)","108","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"ora","TFAP4","HD_ALL","0.52867775694202690","0.296020810279146506794","TFAP4","148","trrust","148","0.52867775694202690","0.296020810279146506794",NA,"","4","Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=1311)","88","0.02208000000000000","Enrichr Queries,0.02208"
"ora","FLI1","HD_ALL","0.48231339586524358","0.329371944802769933691","FLI1","149","trrust","149","0.48231339586524358","0.329371944802769933691",NA,"","6","Literature--ChIP-seq(rank=96); ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=344); ARCHS4--Coexpression(rank=760); Enrichr--Queries(rank=1351)","748","0.21410000000000001","GTEx Coexpression,0.2141"
