"TF","LD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"STAT6","-2.669550588324013152","-2.669550588324013152","2.669550588324013152","Repressed","79","viper","79","2.669550588324013152",NA,NA,"4","Literature--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=430); GTEx--Coexpression(rank=873); Enrichr--Queries(rank=942)","361","0.08537000000000000","Literature ChIP-seq,0.08537"
"SP3","2.645964430518655597","2.645964430518655597","2.645964430518655597","Activated","80","viper","80","2.645964430518655597",NA,NA,"3","GTEx--Coexpression(rank=840); Enrichr--Queries(rank=1328); ARCHS4--Coexpression(rank=1599)","1266","0.52270000000000005","GTEx Coexpression,0.5227"
"KLF13","-2.634535393204666232","-2.634535393204666232","2.634535393204666232","Repressed","81","viper","81","2.634535393204666232",NA,NA,"4","ReMap--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=470); GTEx--Coexpression(rank=560); Enrichr--Queries(rank=947)","864","0.28870000000000001","ARCHS4 Coexpression,0.2887"
"JUNB","2.615904973272906719","2.615904973272906719","2.615904973272906719","Activated","82","viper","82","2.615904973272906719",NA,NA,"4","ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=362); GTEx--Coexpression(rank=808); Enrichr--Queries(rank=897)","724","0.22239999999999999","ARCHS4 Coexpression,0.2224"
"PPARG","2.501702171729606849","2.501702171729606849","2.501702171729606849","Activated","83","viper","83","2.501702171729606849",NA,NA,"5","Literature--ChIP-seq(rank=48); GTEx--Coexpression(rank=64); ReMap--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=466); Enrichr--Queries(rank=475)","179","0.03983000000000000","GTEx Coexpression,0.03983"
"MYC","-2.462109152674140766","-2.462109152674140766","2.462109152674140766","Repressed","84","viper","84","2.462109152674140766",NA,NA,"6","Literature--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=301); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1402)","576","0.15850000000000000","Literature ChIP-seq,0.1585"
"TCF7L2","2.420562118791817596","2.420562118791817596","2.420562118791817596","Activated","85","viper","85","2.420562118791817596",NA,NA,"6","ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=654); ARCHS4--Coexpression(rank=769); Enrichr--Queries(rank=885)","758","0.23730000000000001","ENCODE ChIP-seq,0.2373"
"NEUROD1","2.396966915467231729","2.396966915467231729","2.396966915467231729","Activated","86","viper","86","2.396966915467231729",NA,NA,"4","ReMap--ChIP-seq(rank=30); Enrichr--Queries(rank=159); GTEx--Coexpression(rank=465); ARCHS4--Coexpression(rank=519)","416","0.10100000000000001","ReMap ChIP-seq,0.101"
"ETS2","-2.393910720024251315","-2.393910720024251315","2.393910720024251315","Repressed","87","viper","87","2.393910720024251315",NA,NA,"4","ARCHS4--Coexpression(rank=135); Literature--ChIP-seq(rank=141); GTEx--Coexpression(rank=259); Enrichr--Queries(rank=764)","352","0.08291999999999999","ARCHS4 Coexpression,0.08292"
"XBP1","2.393086584727914801","2.393086584727914801","2.393086584727914801","Activated","88","viper","88","2.393086584727914801",NA,NA,"4","ReMap--ChIP-seq(rank=251); ARCHS4--Coexpression(rank=388); GTEx--Coexpression(rank=969); Enrichr--Queries(rank=1076)","760","0.23830000000000001","ARCHS4 Coexpression,0.2383"
"NFKB2","-2.392053461485638355","-2.392053461485638355","2.392053461485638355","Repressed","89","viper","89","2.392053461485638355",NA,NA,"4","ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=700); Enrichr--Queries(rank=715); ARCHS4--Coexpression(rank=1025)","1124","0.43559999999999999","GTEx Coexpression,0.4356"
"NCOA1","2.386090841897506643","2.386090841897506643","2.386090841897506643","Activated","90","viper","90","2.386090841897506643",NA,NA,"4","ReMap--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=494); GTEx--Coexpression(rank=593); Enrichr--Queries(rank=1046)","891","0.30340000000000000","ARCHS4 Coexpression,0.3034"
"ESR1","2.359016112146354871","2.359016112146354871","2.359016112146354871","Activated","91","viper","91","2.359016112146354871",NA,NA,"6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=456)","110","0.02439000000000000","Literature ChIP-seq,0.02439"
"ETV1","2.329257845826546713","2.329257845826546713","2.329257845826546713","Activated","92","viper","92","2.329257845826546713",NA,NA,"4","ARCHS4--Coexpression(rank=44); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=314); GTEx--Coexpression(rank=342)","123","0.02703000000000000","ARCHS4 Coexpression,0.02703"
"SPI1","2.326015601192584104","2.326015601192584104","2.326015601192584104","Activated","93","viper","93","2.326015601192584104",NA,NA,"6","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=57); Literature--ChIP-seq(rank=62); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=342); GTEx--Coexpression(rank=613)","650","0.19189999999999999","ReMap ChIP-seq,0.1919"
"CUX1","2.310106603908779643","2.310106603908779643","2.310106603908779643","Activated","94","viper","94","2.310106603908779643",NA,NA,"6","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=104); Literature--ChIP-seq(rank=143); GTEx--Coexpression(rank=638); ARCHS4--Coexpression(rank=843); Enrichr--Queries(rank=1104)","988","0.35020000000000001","ReMap ChIP-seq,0.3502"
"NFATC1","2.307206076856797239","2.307206076856797239","2.307206076856797239","Activated","95","viper","95","2.307206076856797239",NA,NA,"5","ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=290); ARCHS4--Coexpression(rank=352); Enrichr--Queries(rank=610); GTEx--Coexpression(rank=967)","710","0.21620000000000000","ARCHS4 Coexpression,0.2162"
"SP1","2.305340191516596082","2.305340191516596082","2.305340191516596082","Activated","96","viper","96","2.305340191516596082",NA,NA,"5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=622); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1582)","1048","0.38710000000000000","GTEx Coexpression,0.3871"
"MEF2C","2.302278676680436842","2.302278676680436842","2.302278676680436842","Activated","97","viper","97","2.302278676680436842",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=148); ReMap--ChIP-seq(rank=213); Enrichr--Queries(rank=233); GTEx--Coexpression(rank=928)","382","0.09091000000000000","ARCHS4 Coexpression,0.09091"
"ARNT","2.301419921364817878","2.301419921364817878","2.301419921364817878","Activated","98","viper","98","2.301419921364817878",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=556); Enrichr--Queries(rank=1174); ARCHS4--Coexpression(rank=1294)","292","0.06707000000000000","Literature ChIP-seq,0.06707"
"MYBL2","2.264341656637495870","2.264341656637495870","2.264341656637495870","Activated","99","viper","99","2.264341656637495870",NA,NA,"6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1395); ARCHS4--Coexpression(rank=1544); GTEx--Coexpression(rank=1551)","1260","0.51519999999999999","ReMap ChIP-seq,0.5152"
"MXI1","-2.259914783981396447","-2.259914783981396447","2.259914783981396447","Repressed","100","viper","100","2.259914783981396447",NA,NA,"5","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=240); ARCHS4--Coexpression(rank=630); GTEx--Coexpression(rank=729); Enrichr--Queries(rank=836)","1047","0.38700000000000001","ARCHS4 Coexpression,0.387"
"MAFF","2.245989799194211489","2.245989799194211489","2.245989799194211489","Activated","101","viper","101","2.245989799194211489",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=662); ARCHS4--Coexpression(rank=1553)","879","0.29699999999999999","Enrichr Queries,0.297"
"TFAP4","2.227657954996235201","2.227657954996235201","2.227657954996235201","Activated","102","viper","102","2.227657954996235201",NA,NA,"4","ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=700); Enrichr--Queries(rank=1285); GTEx--Coexpression(rank=1331)","1113","0.42999999999999999","ARCHS4 Coexpression,0.43"
"BACH2","2.219427313462131401","2.219427313462131401","2.219427313462131401","Activated","103","viper","103","2.219427313462131401",NA,NA,"4","ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=353); ARCHS4--Coexpression(rank=646); GTEx--Coexpression(rank=983)","789","0.25140000000000001","Enrichr Queries,0.2514"
"GABPA","2.217587951317984807","2.217587951317984807","2.217587951317984807","Activated","104","viper","104","2.217587951317984807",NA,NA,"6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=255); GTEx--Coexpression(rank=1186); Enrichr--Queries(rank=1356); ARCHS4--Coexpression(rank=1598)","673","0.20119999999999999","Literature ChIP-seq,0.2012"
"NANOG","2.213538087522234576","2.213538087522234576","2.213538087522234576","Activated","105","viper","105","2.213538087522234576",NA,NA,"6","ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=714); Enrichr--Queries(rank=903); GTEx--Coexpression(rank=922)","481","0.12460000000000000","ReMap ChIP-seq,0.1246"
"AHR","2.212006203358491518","2.212006203358491518","2.212006203358491518","Activated","106","viper","106","2.212006203358491518",NA,NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=27); GTEx--Coexpression(rank=183); Enrichr--Queries(rank=367); ARCHS4--Coexpression(rank=391)","383","0.09091000000000000","ReMap ChIP-seq,0.09091"
"RBPJ","2.205562138785833071","2.205562138785833071","2.205562138785833071","Activated","107","viper","107","2.205562138785833071",NA,NA,"5","Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=734); Enrichr--Queries(rank=975); ARCHS4--Coexpression(rank=1238)","1161","0.45679999999999998","GTEx Coexpression,0.4568"
"SP2","2.172997446882477757","2.172997446882477757","2.172997446882477757","Activated","108","viper","108","2.172997446882477757",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=743); GTEx--Coexpression(rank=768); Enrichr--Queries(rank=1176)","1160","0.45639999999999997","ARCHS4 Coexpression,0.4564"
"ZNF740","2.091097778185793121","2.091097778185793121","2.091097778185793121","Activated","109","viper","109","2.091097778185793121",NA,NA,"4","ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=1027); Enrichr--Queries(rank=1360); ARCHS4--Coexpression(rank=1511)","1425","0.63300000000000001","ReMap ChIP-seq,0.633"
"HINFP","2.080783786161817694","2.080783786161817694","2.080783786161817694","Activated","110","viper","110","2.080783786161817694",NA,NA,"3","ReMap--ChIP-seq(rank=243); GTEx--Coexpression(rank=749); ARCHS4--Coexpression(rank=826)","1175","0.46610000000000001","GTEx Coexpression,0.4661"
"SMAD4","-2.047385063978908182","-2.047385063978908182","2.047385063978908182","Repressed","111","viper","111","2.047385063978908182",NA,NA,"5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=1094); Enrichr--Queries(rank=1366); ARCHS4--Coexpression(rank=1571)","83","0.01829000000000000","Literature ChIP-seq,0.01829"
"TAL1","2.027025747228937913","2.027025747228937913","2.027025747228937913","Activated","112","viper","112","2.027025747228937913",NA,NA,"6","ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=128); Literature--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=207); ReMap--ChIP-seq(rank=208); Enrichr--Queries(rank=724)","260","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"OTX2","2.019944514920130718","2.019944514920130718","2.019944514920130718","Activated","113","viper","113","2.019944514920130718",NA,NA,"4","ReMap--ChIP-seq(rank=66); GTEx--Coexpression(rank=568); Enrichr--Queries(rank=824); ARCHS4--Coexpression(rank=1086)","723","0.22220000000000001","ReMap ChIP-seq,0.2222"
"ATF7","2.019001943463573756","2.019001943463573756","2.019001943463573756","Activated","114","viper","114","2.019001943463573756",NA,NA,"4","ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=754); ARCHS4--Coexpression(rank=822); Enrichr--Queries(rank=1156)","701","0.21210000000000001","ReMap ChIP-seq,0.2121"
"CEBPB","2.002263899280670501","2.002263899280670501","2.002263899280670501","Activated","115","viper","115","2.002263899280670501",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=401); GTEx--Coexpression(rank=493); Enrichr--Queries(rank=645)","296","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"KLF1","1.982770022836850776","1.982770022836850776","1.982770022836850776","Activated","116","viper","116","1.982770022836850776",NA,NA,"5","Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=441); Enrichr--Queries(rank=677); GTEx--Coexpression(rank=997)","832","0.27089999999999997","ARCHS4 Coexpression,0.2709"
"BHLHE22","-1.927488841722118096","-1.927488841722118096","1.927488841722118096","Repressed","117","viper","117","1.927488841722118096",NA,NA,"3","GTEx--Coexpression(rank=38); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=73)","107","0.02365000000000000","GTEx Coexpression,0.02365"
"HIF1A","1.898609811987222118","1.898609811987222118","1.898609811987222118","Activated","118","viper","118","1.898609811987222118",NA,NA,"5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=937)","300","0.06845000000000000","GTEx Coexpression,0.06845"
"SIX5","1.894980573077881703","1.894980573077881703","1.894980573077881703","Activated","119","viper","119","1.894980573077881703",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=699); GTEx--Coexpression(rank=731); ARCHS4--Coexpression(rank=1016)","1157","0.45490000000000003","GTEx Coexpression,0.4549"
"ETS1","-1.887186346816560834","-1.887186346816560834","1.887186346816560834","Repressed","120","viper","120","1.887186346816560834",NA,NA,"6","ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=161); ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=561); Enrichr--Queries(rank=571); GTEx--Coexpression(rank=582)","930","0.32200000000000001","ENCODE ChIP-seq,0.322"
"YY1","-1.878723609654936233","-1.878723609654936233","1.878723609654936233","Repressed","121","viper","121","1.878723609654936233",NA,NA,"6","ENCODE--ChIP-seq(rank=85); GTEx--Coexpression(rank=111); Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=1371); ARCHS4--Coexpression(rank=1620)","301","0.06907000000000001","GTEx Coexpression,0.06907"
"DUX4","1.874436293772519857","1.874436293772519857","1.874436293772519857","Activated","122","viper","122","1.874436293772519857",NA,NA,"2","ReMap--ChIP-seq(rank=229); ARCHS4--Coexpression(rank=1372)","1545","0.77100000000000002","ReMap ChIP-seq,0.771"
"ZNF592","1.845723850049603376","1.845723850049603376","1.845723850049603376","Activated","123","viper","123","1.845723850049603376",NA,NA,"4","ReMap--ChIP-seq(rank=18); GTEx--Coexpression(rank=847); ARCHS4--Coexpression(rank=1200); Enrichr--Queries(rank=1365)","265","0.06061000000000000","ReMap ChIP-seq,0.06061"
"CREB3","1.844092881761067115","1.844092881761067115","1.844092881761067115","Activated","124","viper","124","1.844092881761067115",NA,NA,"4","ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=963); GTEx--Coexpression(rank=1000); ARCHS4--Coexpression(rank=1209)","575","0.15820000000000001","ReMap ChIP-seq,0.1582"
"RUNX2","1.837392675058838076","1.837392675058838076","1.837392675058838076","Activated","125","viper","125","1.837392675058838076",NA,NA,"5","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=253); ARCHS4--Coexpression(rank=460)","67","0.01493000000000000","GTEx Coexpression,0.01493"
"REST","1.807120796791043649","1.807120796791043649","1.807120796791043649","Activated","126","viper","126","1.807120796791043649",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=11); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=1270)","30","0.00684500000000000","GTEx Coexpression,0.006845"
"BATF","1.774281048284218842","1.774281048284218842","1.774281048284218842","Activated","127","viper","127","1.774281048284218842",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=416); Enrichr--Queries(rank=783)","688","0.20699999999999999","ARCHS4 Coexpression,0.207"
"GLI2","1.749888631858754540","1.749888631858754540","1.749888631858754540","Activated","128","viper","128","1.749888631858754540",NA,NA,"3","Enrichr--Queries(rank=277); ARCHS4--Coexpression(rank=435); GTEx--Coexpression(rank=576)","664","0.19730000000000000","Enrichr Queries,0.1973"
"ATF3","-1.744036035452569022","-1.744036035452569022","1.744036035452569022","Repressed","129","viper","129","1.744036035452569022",NA,NA,"6","Literature--ChIP-seq(rank=95); ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=624); GTEx--Coexpression(rank=674)","538","0.14620000000000000","ARCHS4 Coexpression,0.1462"
"RUNX1","1.719891327380735468","1.719891327380735468","1.719891327380735468","Activated","130","viper","130","1.719891327380735468",NA,NA,"5","Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=358); Enrichr--Queries(rank=558); ARCHS4--Coexpression(rank=923)","725","0.22280000000000000","GTEx Coexpression,0.2228"
"TP63","1.662509592257846558","1.662509592257846558","1.662509592257846558","Activated","131","viper","131","1.662509592257846558",NA,NA,"5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","0.01496000000000000","Enrichr Queries,0.01496"
"BCL6","-1.655026379177940266","-1.655026379177940266","1.655026379177940266","Repressed","132","viper","132","1.655026379177940266",NA,NA,"5","Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=394); Enrichr--Queries(rank=512); GTEx--Coexpression(rank=784)","767","0.24199999999999999","ARCHS4 Coexpression,0.242"
"NR2F1","1.645039249002534065","1.645039249002534065","1.645039249002534065","Activated","133","viper","133","1.645039249002534065",NA,NA,"4","Enrichr--Queries(rank=9); ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=60); GTEx--Coexpression(rank=585)","27","0.00641000000000000","Enrichr Queries,0.00641"
"TWIST1","-1.635971366282941597","-1.635971366282941597","1.635971366282941597","Repressed","134","viper","134","1.635971366282941597",NA,NA,"4","GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=15); Enrichr--Queries(rank=23)","8","0.00186700000000000","GTEx Coexpression,0.001867"
"HBP1","-1.610450882442038489","-1.610450882442038489","1.610450882442038489","Repressed","135","viper","135","1.610450882442038489",NA,NA,"4","ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=811); ARCHS4--Coexpression(rank=842); Enrichr--Queries(rank=924)","1246","0.50470000000000004","GTEx Coexpression,0.5047"
"TBP","1.606814249241936166","1.606814249241936166","1.606814249241936166","Activated","136","viper","136","1.606814249241936166",NA,NA,"5","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=276); ARCHS4--Coexpression(rank=1339); GTEx--Coexpression(rank=1345)","1204","0.48309999999999997","ENCODE ChIP-seq,0.4831"
"TFDP1","-1.586635083165053750","-1.586635083165053750","1.586635083165053750","Repressed","137","viper","137","1.586635083165053750",NA,NA,"4","ReMap--ChIP-seq(rank=244); Enrichr--Queries(rank=1384); ARCHS4--Coexpression(rank=1606); GTEx--Coexpression(rank=1607)","1584","0.82150000000000001","ReMap ChIP-seq,0.8215"
"SOX6","1.581211119586255043","1.581211119586255043","1.581211119586255043","Activated","138","viper","138","1.581211119586255043",NA,NA,"4","ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=170); ARCHS4--Coexpression(rank=552); GTEx--Coexpression(rank=1028)","472","0.12110000000000001","Enrichr Queries,0.1211"
"NR2C2","-1.568045907333152966","-1.568045907333152966","1.568045907333152966","Repressed","139","viper","139","1.568045907333152966",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=1361); GTEx--Coexpression(rank=1503); ARCHS4--Coexpression(rank=1622)","1596","0.83899999999999997","ENCODE ChIP-seq,0.839"
"HOXA9","1.534587635737473477","1.534587635737473477","1.534587635737473477","Activated","140","viper","140","1.534587635737473477",NA,NA,"4","GTEx--Coexpression(rank=42); ReMap--ChIP-seq(rank=233); Enrichr--Queries(rank=238); ARCHS4--Coexpression(rank=311)","119","0.02614000000000000","GTEx Coexpression,0.02614"
"GATA6","1.524197598150562216","1.524197598150562216","1.524197598150562216","Activated","141","viper","141","1.524197598150562216",NA,NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=407); GTEx--Coexpression(rank=1013); ARCHS4--Coexpression(rank=1123)","868","0.28989999999999999","Enrichr Queries,0.2899"
"TFAP2A","1.487120306621582344","1.487120306621582344","1.487120306621582344","Activated","142","viper","142","1.487120306621582344",NA,NA,"6","GTEx--Coexpression(rank=52); ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=215); Enrichr--Queries(rank=656)","148","0.03236000000000000","GTEx Coexpression,0.03236"
"CEBPG","1.457437398096293135","1.457437398096293135","1.457437398096293135","Activated","143","viper","143","1.457437398096293135",NA,NA,"4","ReMap--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=755); Enrichr--Queries(rank=1089); GTEx--Coexpression(rank=1507)","889","0.30299999999999999","ReMap ChIP-seq,0.303"
"ARNTL","1.452401988984368453","1.452401988984368453","1.452401988984368453","Activated","144","viper","144","1.452401988984368453",NA,NA,"4","ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=551); GTEx--Coexpression(rank=1213)","537","0.14560000000000001","ARCHS4 Coexpression,0.1456"
"MBD2","1.452277955755039818","1.452277955755039818","1.452277955755039818","Activated","145","viper","145","1.452277955755039818",NA,NA,"4","ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=395); ARCHS4--Coexpression(rank=1079); Enrichr--Queries(rank=1218)","251","0.05724000000000000","ReMap ChIP-seq,0.05724"
"AR","1.435212711815816888","1.435212711815816888","1.435212711815816888","Activated","146","viper","146","1.435212711815816888",NA,NA,"5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=108); GTEx--Coexpression(rank=510); ARCHS4--Coexpression(rank=529)","240","0.05488000000000000","Literature ChIP-seq,0.05488"
"MYB","-1.432475600154397233","-1.432475600154397233","1.432475600154397233","Repressed","147","viper","147","1.432475600154397233",NA,NA,"6","ENCODE--ChIP-seq(rank=78); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=415); ARCHS4--Coexpression(rank=834); Enrichr--Queries(rank=1070)","808","0.25819999999999999","GTEx Coexpression,0.2582"
"NFE2L1","1.415302505353371210","1.415302505353371210","1.415302505353371210","Activated","148","viper","148","1.415302505353371210",NA,NA,"4","ReMap--ChIP-seq(rank=268); GTEx--Coexpression(rank=944); ARCHS4--Coexpression(rank=1091); Enrichr--Queries(rank=1208)","1368","0.58740000000000003","GTEx Coexpression,0.5874"
"LHX2","1.409048286681890749","1.409048286681890749","1.409048286681890749","Activated","149","viper","149","1.409048286681890749",NA,NA,"4","ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=197); GTEx--Coexpression(rank=265); ARCHS4--Coexpression(rank=322)","525","0.14030000000000001","Enrichr Queries,0.1403"
"RFX5","-1.371394805196882505","-1.371394805196882505","1.371394805196882505","Repressed","150","viper","150","1.371394805196882505",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=1132); GTEx--Coexpression(rank=1177); ARCHS4--Coexpression(rank=1538)","985","0.34749999999999992","ENCODE ChIP-seq,0.3475"
"KLF4","1.370630423395839737","1.370630423395839737","1.370630423395839737","Activated","151","viper","151","1.370630423395839737",NA,NA,"5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=414)","42","0.00995600000000000","GTEx Coexpression,0.009956"
"SIX2","1.365659962926193405","1.365659962926193405","1.365659962926193405","Activated","152","viper","152","1.365659962926193405",NA,NA,"4","ReMap--ChIP-seq(rank=11); Enrichr--Queries(rank=58); ARCHS4--Coexpression(rank=239); GTEx--Coexpression(rank=1299)","168","0.03704000000000000","ReMap ChIP-seq,0.03704"
"POU2F1","1.345737680523703350","1.345737680523703350","1.345737680523703350","Activated","153","viper","153","1.345737680523703350",NA,NA,"4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=946); GTEx--Coexpression(rank=975); Enrichr--Queries(rank=1192)","1359","0.58109999999999984","ARCHS4 Coexpression,0.5811"
"FOXO4","1.336036997566507845","1.336036997566507845","1.336036997566507845","Activated","154","viper","154","1.336036997566507845",NA,NA,"3","GTEx--Coexpression(rank=435); ARCHS4--Coexpression(rank=486); Enrichr--Queries(rank=1029)","831","0.27070000000000000","GTEx Coexpression,0.2707"
"FLI1","-1.310730199018411923","-1.310730199018411923","1.310730199018411923","Repressed","155","viper","155","1.310730199018411923",NA,NA,"6","ReMap--ChIP-seq(rank=106); ENCODE--ChIP-seq(rank=117); Literature--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=245); Enrichr--Queries(rank=445); GTEx--Coexpression(rank=450)","553","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"VDR","1.296924794956958449","1.296924794956958449","1.296924794956958449","Activated","156","viper","156","1.296924794956958449",NA,NA,"5","Literature--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=161); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=578); GTEx--Coexpression(rank=804)","410","0.09889000000000001","ARCHS4 Coexpression,0.09889"
"FOXO1","1.295573358627341909","1.295573358627341909","1.295573358627341909","Activated","157","viper","157","1.295573358627341909",NA,NA,"5","ReMap--ChIP-seq(rank=84); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=415); GTEx--Coexpression(rank=550); Enrichr--Queries(rank=704)","800","0.25490000000000002","ARCHS4 Coexpression,0.2549"
"NFIC","-1.241556574657613377","-1.241556574657613377","1.241556574657613377","Repressed","158","viper","158","1.241556574657613377",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=677); ARCHS4--Coexpression(rank=870); Enrichr--Queries(rank=883)","425","0.10440000000000001","ReMap ChIP-seq,0.1044"
