"TF","HD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CTCF","1.442225453318947803","1.442225453318947803","1.442225453318947803","Activated","79","viper","79","1.442225453318947803",NA,NA,"6","ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=235); Enrichr--Queries(rank=1089); GTEx--Coexpression(rank=1501)","103","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"ZBTB7A","-1.434879008326803040","-1.434879008326803040","1.434879008326803040","Repressed","80","viper","80","1.434879008326803040",NA,NA,"5","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=157); ARCHS4--Coexpression(rank=316); Enrichr--Queries(rank=1043)","399","0.097699999999999995","GTEx Coexpression,0.0977"
"KLF9","-1.434800232408901310","-1.434800232408901310","1.434800232408901310","Repressed","81","viper","81","1.434800232408901310",NA,NA,"4","ARCHS4--Coexpression(rank=196); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=454); GTEx--Coexpression(rank=628)","473","0.120399999999999993","ARCHS4 Coexpression,0.1204"
"SOX10","-1.431063169882794472","-1.431063169882794472","1.431063169882794472","Repressed","82","viper","82","1.431063169882794472",NA,NA,"4","ARCHS4--Coexpression(rank=135); GTEx--Coexpression(rank=161); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=1017)","342","0.082919999999999994","ARCHS4 Coexpression,0.08292"
"ZBTB33","1.421663727002186572","1.421663727002186572","1.421663727002186572","Activated","83","viper","83","1.421663727002186572",NA,NA,"5","ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=132); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=1032); ARCHS4--Coexpression(rank=1464)","339","0.082140000000000005","GTEx Coexpression,0.08214"
"ZNF740","1.418820149457899804","1.418820149457899804","1.418820149457899804","Activated","84","viper","84","1.418820149457899804",NA,NA,"4","ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=750); GTEx--Coexpression(rank=887); Enrichr--Queries(rank=1184)","1265","0.460699999999999998","ARCHS4 Coexpression,0.4607"
"ZFX","1.414001473374578932","1.414001473374578932","1.414001473374578932","Activated","85","viper","85","1.414001473374578932",NA,NA,"5","Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=296); GTEx--Coexpression(rank=732); ARCHS4--Coexpression(rank=1079); Enrichr--Queries(rank=1152)","1258","0.455500000000000016","GTEx Coexpression,0.4555"
"TFAP2C","-1.409730592101444691","-1.409730592101444691","1.409730592101444691","Repressed","86","viper","86","1.409730592101444691",NA,NA,"6","Literature--ChIP-seq(rank=30); Enrichr--Queries(rank=36); ENCODE--ChIP-seq(rank=48); GTEx--Coexpression(rank=66); ReMap--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=96)","104","0.025640000000000000","Enrichr Queries,0.02564"
"FOXL2","-1.400175515245353663","-1.400175515245353663","1.400175515245353663","Repressed","87","viper","87","1.400175515245353663",NA,NA,"3","Enrichr--Queries(rank=486); ARCHS4--Coexpression(rank=535); GTEx--Coexpression(rank=561)","1027","0.328600000000000003","ARCHS4 Coexpression,0.3286"
"FOXO3","-1.383651465818128923","-1.383651465818128923","1.383651465818128923","Repressed","88","viper","88","1.383651465818128923",NA,NA,"4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=392); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=1111)","911","0.278299999999999992","ARCHS4 Coexpression,0.2783"
"HMBOX1","1.363177651996504647","1.363177651996504647","1.363177651996504647","Activated","89","viper","89","1.363177651996504647",NA,NA,"4","ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=746); GTEx--Coexpression(rank=915); Enrichr--Queries(rank=1324)","1263","0.458199999999999996","ARCHS4 Coexpression,0.4582"
"TAL1","-1.357609403997619202","-1.357609403997619202","1.357609403997619202","Repressed","90","viper","90","1.357609403997619202",NA,NA,"6","ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=175); GTEx--Coexpression(rank=640); Enrichr--Queries(rank=1135)","430","0.107499999999999998","ARCHS4 Coexpression,0.1075"
"ZNF592","1.329924272537310159","1.329924272537310159","1.329924272537310159","Activated","91","viper","91","1.329924272537310159",NA,NA,"4","ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=902); GTEx--Coexpression(rank=1271); Enrichr--Queries(rank=1380)","82","0.020199999999999999","ReMap ChIP-seq,0.0202"
"SMAD4","-1.326556649262356391","-1.326556649262356391","1.326556649262356391","Repressed","92","viper","92","1.326556649262356391",NA,NA,"5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=983); GTEx--Coexpression(rank=1115); ARCHS4--Coexpression(rank=1589)","641","0.176800000000000013","Literature ChIP-seq,0.1768"
"ZNF384","1.316177359233302591","1.316177359233302591","1.316177359233302591","Activated","93","viper","93","1.316177359233302591",NA,NA,"5","ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=139); GTEx--Coexpression(rank=702); ARCHS4--Coexpression(rank=1157); Enrichr--Queries(rank=1194)","1234","0.436800000000000022","GTEx Coexpression,0.4368"
"SMAD1","-1.296724493304747261","-1.296724493304747261","1.296724493304747261","Repressed","94","viper","94","1.296724493304747261",NA,NA,"5","Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=256); Enrichr--Queries(rank=439); GTEx--Coexpression(rank=1226)","580","0.157200000000000006","ARCHS4 Coexpression,0.1572"
"AHR","-1.295151587185036313","-1.295151587185036313","1.295151587185036313","Repressed","95","viper","95","1.295151587185036313",NA,NA,"5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=292); GTEx--Coexpression(rank=530); Enrichr--Queries(rank=749)","591","0.161599999999999994","ReMap ChIP-seq,0.1616"
"KDM5B","-1.289146889464150236","-1.289146889464150236","1.289146889464150236","Repressed","96","viper","96","1.289146889464150236",NA,NA,"5","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=468); GTEx--Coexpression(rank=1063)","543","0.144100000000000006","ENCODE ChIP-seq,0.1441"
"SPIB","-1.273901548555054886","-1.273901548555054886","1.273901548555054886","Repressed","97","viper","97","1.273901548555054886",NA,NA,"4","ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=107); ARCHS4--Coexpression(rank=729); Enrichr--Queries(rank=1277)","268","0.066580000000000000","GTEx Coexpression,0.06658"
"MBD1","-1.270818615842803423","-1.270818615842803423","1.270818615842803423","Repressed","98","viper","98","1.270818615842803423",NA,NA,"3","ARCHS4--Coexpression(rank=508); Enrichr--Queries(rank=904); GTEx--Coexpression(rank=1472)","998","0.312000000000000000","ARCHS4 Coexpression,0.312"
"MAF","-1.270194266584647069","-1.270194266584647069","1.270194266584647069","Repressed","99","viper","99","1.270194266584647069",NA,NA,"4","GTEx--Coexpression(rank=54); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=380); Enrichr--Queries(rank=1123)","138","0.033599999999999998","GTEx Coexpression,0.0336"
"JUND","1.263008834914523204","1.263008834914523204","1.263008834914523204","Activated","100","viper","100","1.263008834914523204",NA,NA,"6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=261); Enrichr--Queries(rank=801); GTEx--Coexpression(rank=1287)","588","0.160299999999999998","ARCHS4 Coexpression,0.1603"
"USF1","1.238781213681622084","1.238781213681622084","1.238781213681622084","Activated","101","viper","101","1.238781213681622084",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=138); GTEx--Coexpression(rank=618); Enrichr--Queries(rank=844); ARCHS4--Coexpression(rank=1023)","1150","0.384599999999999997","GTEx Coexpression,0.3846"
"ARNTL","-1.227385516950256994","-1.227385516950256994","1.227385516950256994","Repressed","102","viper","102","1.227385516950256994",NA,NA,"4","ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=313); ARCHS4--Coexpression(rank=495); GTEx--Coexpression(rank=1045)","766","0.222899999999999987","Enrichr Queries,0.2229"
"NR1H3","-1.217322521005397284","-1.217322521005397284","1.217322521005397284","Repressed","103","viper","103","1.217322521005397284",NA,NA,"5","Literature--ChIP-seq(rank=62); GTEx--Coexpression(rank=184); ReMap--ChIP-seq(rank=276); ARCHS4--Coexpression(rank=546); Enrichr--Queries(rank=698)","455","0.114500000000000005","GTEx Coexpression,0.1145"
"STAT5A","1.213288838112783541","1.213288838112783541","1.213288838112783541","Activated","104","viper","104","1.213288838112783541",NA,NA,"6","Literature--ChIP-seq(rank=84); ENCODE--ChIP-seq(rank=95); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=461); Enrichr--Queries(rank=905)","396","0.097080000000000000","GTEx Coexpression,0.09708"
"ZNF24","1.212605840792223777","1.212605840792223777","1.212605840792223777","Activated","105","viper","105","1.212605840792223777",NA,NA,"4","ReMap--ChIP-seq(rank=100); GTEx--Coexpression(rank=547); Enrichr--Queries(rank=1142); ARCHS4--Coexpression(rank=1536)","1045","0.336699999999999999","ReMap ChIP-seq,0.3367"
"FOXA1","-1.191025082962604564","-1.191025082962604564","1.191025082962604564","Repressed","106","viper","106","1.191025082962604564",NA,NA,"6","ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=33); Enrichr--Queries(rank=35); ReMap--ChIP-seq(rank=59); GTEx--Coexpression(rank=233)","28","0.006757000000000000","ARCHS4 Coexpression,0.006757"
"TCF7","1.187277933543271935","1.187277933543271935","1.187277933543271935","Activated","107","viper","107","1.187277933543271935",NA,NA,"5","Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=169); ReMap--ChIP-seq(rank=216); GTEx--Coexpression(rank=516); Enrichr--Queries(rank=1056)","419","0.103800000000000003","ARCHS4 Coexpression,0.1038"
"NCOA2","-1.187167914257394985","-1.187167914257394985","1.187167914257394985","Repressed","108","viper","108","1.187167914257394985",NA,NA,"4","ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=1192); ARCHS4--Coexpression(rank=1257)","909","0.276899999999999979","GTEx Coexpression,0.2769"
"FOXO4","-1.181918422224917276","-1.181918422224917276","1.181918422224917276","Repressed","109","viper","109","1.181918422224917276",NA,NA,"3","Enrichr--Queries(rank=275); GTEx--Coexpression(rank=774); ARCHS4--Coexpression(rank=869)","694","0.195899999999999991","Enrichr Queries,0.1959"
"TCF12","1.180556194231273892","1.180556194231273892","1.180556194231273892","Activated","110","viper","110","1.180556194231273892",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=516); Enrichr--Queries(rank=1097); GTEx--Coexpression(rank=1128)","203","0.050849999999999999","ENCODE ChIP-seq,0.05085"
"NFIC","-1.174381950968852673","-1.174381950968852673","1.174381950968852673","Repressed","111","viper","111","1.174381950968852673",NA,NA,"5","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=174); ARCHS4--Coexpression(rank=198); GTEx--Coexpression(rank=407); Enrichr--Queries(rank=725)","276","0.067799999999999999","ENCODE ChIP-seq,0.0678"
"BHLHE40","1.174040569173159909","1.174040569173159909","1.174040569173159909","Activated","112","viper","112","1.174040569173159909",NA,NA,"4","ENCODE--ChIP-seq(rank=47); GTEx--Coexpression(rank=74); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=232)","185","0.046050000000000001","GTEx Coexpression,0.04605"
"ZNF639","1.165955396657792242","1.165955396657792242","1.165955396657792242","Activated","113","viper","113","1.165955396657792242",NA,NA,"4","ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=547); ARCHS4--Coexpression(rank=854); GTEx--Coexpression(rank=1011)","1159","0.389600000000000002","Enrichr Queries,0.3896"
"RUNX1","-1.157892343357093567","-1.157892343357093567","1.157892343357093567","Repressed","114","viper","114","1.157892343357093567",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=242); ARCHS4--Coexpression(rank=351); Enrichr--Queries(rank=797); GTEx--Coexpression(rank=1416)","752","0.215600000000000014","ARCHS4 Coexpression,0.2156"
"EPAS1","-1.156186358050207419","-1.156186358050207419","1.156186358050207419","Repressed","115","viper","115","1.156186358050207419",NA,NA,"4","ARCHS4--Coexpression(rank=94); ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=240); Enrichr--Queries(rank=800)","234","0.057740000000000000","ARCHS4 Coexpression,0.05774"
"TFAP2A","-1.152045396854397552","-1.152045396854397552","1.152045396854397552","Repressed","116","viper","116","1.152045396854397552",NA,NA,"6","ENCODE--ChIP-seq(rank=32); GTEx--Coexpression(rank=96); Literature--ChIP-seq(rank=127); Enrichr--Queries(rank=134); ARCHS4--Coexpression(rank=145); ReMap--ChIP-seq(rank=158)","242","0.059740000000000001","GTEx Coexpression,0.05974"
"PPARG","-1.150340331618202150","-1.150340331618202150","1.150340331618202150","Repressed","117","viper","117","1.150340331618202150",NA,NA,"5","ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=163); GTEx--Coexpression(rank=258); Enrichr--Queries(rank=755)","231","0.057239999999999999","ReMap ChIP-seq,0.05724"
"SOX2","-1.143778838489329486","-1.143778838489329486","1.143778838489329486","Repressed","118","viper","118","1.143778838489329486",NA,NA,"5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","0.006098000000000000","Literature ChIP-seq,0.006098"
"HHEX","-1.140040562313310746","-1.140040562313310746","1.140040562313310746","Repressed","119","viper","119","1.140040562313310746",NA,NA,"4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=194); ARCHS4--Coexpression(rank=259); Enrichr--Queries(rank=901)","213","0.053870000000000001","ReMap ChIP-seq,0.05387"
"CEBPD","1.113153336777510383","1.113153336777510383","1.113153336777510383","Activated","120","viper","120","1.113153336777510383",NA,NA,"5","ENCODE--ChIP-seq(rank=82); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=436); ARCHS4--Coexpression(rank=670)","895","0.271299999999999986","GTEx Coexpression,0.2713"
"OTX2","-1.110029997391455137","-1.110029997391455137","1.110029997391455137","Repressed","121","viper","121","1.110029997391455137",NA,NA,"4","ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=782); GTEx--Coexpression(rank=869); ARCHS4--Coexpression(rank=1010)","1381","0.540799999999999947","GTEx Coexpression,0.5408"
"TP73","-1.093674204922739035","-1.093674204922739035","1.093674204922739035","Repressed","122","viper","122","1.093674204922739035",NA,NA,"3","GTEx--Coexpression(rank=61); Enrichr--Queries(rank=157); ARCHS4--Coexpression(rank=223)","155","0.037960000000000001","GTEx Coexpression,0.03796"
"KMT2A","-1.072634106802538234","-1.072634106802538234","1.072634106802538234","Repressed","123","viper","123","1.072634106802538234",NA,NA,"3","ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=1161); ARCHS4--Coexpression(rank=1329)","719","0.202000000000000013","ReMap ChIP-seq,0.202"
"HBP1","-1.058387749815380641","-1.058387749815380641","1.058387749815380641","Repressed","124","viper","124","1.058387749815380641",NA,NA,"4","Enrichr--Queries(rank=133); ARCHS4--Coexpression(rank=183); ReMap--ChIP-seq(rank=199); GTEx--Coexpression(rank=758)","389","0.094729999999999995","Enrichr Queries,0.09473"
"CLOCK","-1.051570857409050097","-1.051570857409050097","1.051570857409050097","Repressed","125","viper","125","1.051570857409050097",NA,NA,"5","Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=136); ARCHS4--Coexpression(rank=587); GTEx--Coexpression(rank=1029); Enrichr--Queries(rank=1278)","1097","0.360599999999999976","ARCHS4 Coexpression,0.3606"
"TGIF2","1.044370809989247029","1.044370809989247029","1.044370809989247029","Activated","126","viper","126","1.044370809989247029",NA,NA,"4","Enrichr--Queries(rank=62); ARCHS4--Coexpression(rank=65); GTEx--Coexpression(rank=158); ReMap--ChIP-seq(rank=166)","163","0.039930000000000000","ARCHS4 Coexpression,0.03993"
"RFX5","-1.036306341004550324","-1.036306341004550324","1.036306341004550324","Repressed","127","viper","127","1.036306341004550324",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=252); ARCHS4--Coexpression(rank=1057)","417","0.103300000000000003","Enrichr Queries,0.1033"
"ARID3A","-1.033553487067734977","-1.033553487067734977","1.033553487067734977","Repressed","128","viper","128","1.033553487067734977",NA,NA,"5","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=528); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=912)","893","0.269399999999999973","ReMap ChIP-seq,0.2694"
"ETV4","1.025736311113991439","1.025736311113991439","1.025736311113991439","Activated","129","viper","129","1.025736311113991439",NA,NA,"4","Enrichr--Queries(rank=18); ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=420); GTEx--Coexpression(rank=596)","55","0.012820000000000000","Enrichr Queries,0.01282"
"EGR1","-1.006313457930571031","-1.006313457930571031","1.006313457930571031","Repressed","130","viper","130","1.006313457930571031",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=611)","75","0.018290000000000001","Literature ChIP-seq,0.01829"
"LEF1","1.005396034998364607","1.005396034998364607","1.005396034998364607","Activated","131","viper","131","1.005396034998364607",NA,NA,"4","ARCHS4--Coexpression(rank=74); ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=403); Enrichr--Queries(rank=646)","183","0.045449999999999997","ARCHS4 Coexpression,0.04545"
"IRF1","1.001087707078211153","1.001087707078211153","1.001087707078211153","Activated","132","viper","132","1.001087707078211153",NA,NA,"6","Literature--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=246); ARCHS4--Coexpression(rank=452); Enrichr--Queries(rank=642)","566","0.153100000000000014","GTEx Coexpression,0.1531"
"PGR","-0.993477569289137663","-0.993477569289137663","0.993477569289137663","Repressed","133","viper","133","0.993477569289137663",NA,NA,"4","ARCHS4--Coexpression(rank=28); ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=672); Enrichr--Queries(rank=726)","72","0.017200000000000000","ARCHS4 Coexpression,0.0172"
"FOXP1","-0.989912490704373260","-0.989912490704373260","0.989912490704373260","Repressed","134","viper","134","0.989912490704373260",NA,NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=430); ARCHS4--Coexpression(rank=852); Enrichr--Queries(rank=971)","890","0.267600000000000005","GTEx Coexpression,0.2676"
"YY1","0.988805078415674887","0.988805078415674887","0.988805078415674887","Activated","135","viper","135","0.988805078415674887",NA,NA,"6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=688); Enrichr--Queries(rank=1063); GTEx--Coexpression(rank=1275)","1212","0.422599999999999976","ARCHS4 Coexpression,0.4226"
"NR1H2","-0.988454998894876202","-0.988454998894876202","0.988454998894876202","Repressed","136","viper","136","0.988454998894876202",NA,NA,"4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=719); GTEx--Coexpression(rank=812); Enrichr--Queries(rank=1147)","201","0.050509999999999999","ReMap ChIP-seq,0.05051"
"E2F6","-0.986035770282270185","-0.986035770282270185","0.986035770282270185","Repressed","137","viper","137","0.986035770282270185",NA,NA,"5","ENCODE--ChIP-seq(rank=10); Enrichr--Queries(rank=137); ReMap--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=335); GTEx--Coexpression(rank=1028)","349","0.084750000000000006","ENCODE ChIP-seq,0.08475"
"CEBPA","0.978310360777448040","0.978310360777448040","0.978310360777448040","Activated","138","viper","138","0.978310360777448040",NA,NA,"5","ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=265); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=829)","433","0.107700000000000004","ReMap ChIP-seq,0.1077"
"EBF1","-0.946322700415125007","-0.946322700415125007","0.946322700415125007","Repressed","139","viper","139","0.946322700415125007",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=534); GTEx--Coexpression(rank=652); Enrichr--Queries(rank=1075)","1025","0.328000000000000014","ARCHS4 Coexpression,0.328"
"MEF2C","0.938954223721395809","0.938954223721395809","0.938954223721395809","Activated","140","viper","140","0.938954223721395809",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=714); ARCHS4--Coexpression(rank=1138); GTEx--Coexpression(rank=1521)","881","0.262600000000000000","ReMap ChIP-seq,0.2626"
"TBP","0.934840510362985433","0.934840510362985433","0.934840510362985433","Activated","141","viper","141","0.934840510362985433",NA,NA,"5","ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=219); GTEx--Coexpression(rank=999); ARCHS4--Coexpression(rank=1223)","1347","0.516900000000000026","ENCODE ChIP-seq,0.5169"
"NEUROD1","-0.930554548788048996","-0.930554548788048996","0.930554548788048996","Repressed","142","viper","142","0.930554548788048996",NA,NA,"4","ReMap--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=302); GTEx--Coexpression(rank=719); Enrichr--Queries(rank=1258)","670","0.185499999999999998","ARCHS4 Coexpression,0.1855"
"MYBL2","0.928264175853231621","0.928264175853231621","0.928264175853231621","Activated","143","viper","143","0.928264175853231621",NA,NA,"6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=108); ENCODE--ChIP-seq(rank=118); Literature--ChIP-seq(rank=139)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"BATF","-0.924704915723796872","-0.924704915723796872","0.924704915723796872","Repressed","144","viper","144","0.924704915723796872",NA,NA,"5","ARCHS4--Coexpression(rank=102); ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=443); Enrichr--Queries(rank=1237)","251","0.062649999999999997","ARCHS4 Coexpression,0.06265"
"FOXK2","0.905082490513934856","0.905082490513934856","0.905082490513934856","Activated","145","viper","145","0.905082490513934856",NA,NA,"4","ReMap--ChIP-seq(rank=213); GTEx--Coexpression(rank=680); Enrichr--Queries(rank=1383); ARCHS4--Coexpression(rank=1507)","1213","0.423099999999999976","GTEx Coexpression,0.4231"
"NRF1","0.899351832123508443","0.899351832123508443","0.899351832123508443","Activated","146","viper","146","0.899351832123508443",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=183); ARCHS4--Coexpression(rank=600); Enrichr--Queries(rank=877); GTEx--Coexpression(rank=1429)","1116","0.368599999999999983","ARCHS4 Coexpression,0.3686"
"GATA6","-0.871247671579390759","-0.871247671579390759","0.871247671579390759","Repressed","147","viper","147","0.871247671579390759",NA,NA,"5","ReMap--ChIP-seq(rank=41); Literature--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=155); GTEx--Coexpression(rank=255); Enrichr--Queries(rank=326)","391","0.095210000000000003","ARCHS4 Coexpression,0.09521"
"STAT1","0.866446367922286464","0.866446367922286464","0.866446367922286464","Activated","148","viper","148","0.866446367922286464",NA,NA,"6","GTEx--Coexpression(rank=44); ENCODE--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=82); ReMap--ChIP-seq(rank=88); Literature--ChIP-seq(rank=145); Enrichr--Queries(rank=576)","112","0.027380000000000002","GTEx Coexpression,0.02738"
"ELF3","-0.864716342869046528","-0.864716342869046528","0.864716342869046528","Repressed","149","viper","149","0.864716342869046528",NA,NA,"4","ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=245)","15","0.003686000000000000","ARCHS4 Coexpression,0.003686"
"PBX2","-0.858116103238815486","-0.858116103238815486","0.858116103238815486","Repressed","150","viper","150","0.858116103238815486",NA,NA,"4","ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=269); Enrichr--Queries(rank=840); ARCHS4--Coexpression(rank=1036)","613","0.167399999999999993","GTEx Coexpression,0.1674"
"ATF2","-0.851770103814070811","-0.851770103814070811","0.851770103814070811","Repressed","151","viper","151","0.851770103814070811",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838); Enrichr--Queries(rank=1272); ARCHS4--Coexpression(rank=1374)","1351","0.521499999999999964","GTEx Coexpression,0.5215"
"FOSL1","0.821189436852180377","0.821189436852180377","0.821189436852180377","Activated","152","viper","152","0.821189436852180377",NA,NA,"5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=29); Enrichr--Queries(rank=167); ARCHS4--Coexpression(rank=171); GTEx--Coexpression(rank=914)","397","0.097640000000000005","ReMap ChIP-seq,0.09764"
"NR5A2","-0.800951326596974766","-0.800951326596974766","0.800951326596974766","Repressed","153","viper","153","0.800951326596974766",NA,NA,"4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=154); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=1397)","273","0.067339999999999997","ReMap ChIP-seq,0.06734"
"TP53","-0.787799090226131038","-0.787799090226131038","0.787799090226131038","Repressed","154","viper","154","0.787799090226131038",NA,NA,"5","Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=105); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=263); GTEx--Coexpression(rank=1165)","259","0.064500000000000002","ARCHS4 Coexpression,0.0645"
"MYOD1","-0.780502212005527163","-0.780502212005527163","0.780502212005527163","Repressed","155","viper","155","0.780502212005527163",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=429); Enrichr--Queries(rank=1005); GTEx--Coexpression(rank=1056)","381","0.093219999999999997","ENCODE ChIP-seq,0.09322"
"NFE2L1","0.776087612600860122","0.776087612600860122","0.776087612600860122","Activated","156","viper","156","0.776087612600860122",NA,NA,"4","ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=596); GTEx--Coexpression(rank=916); ARCHS4--Coexpression(rank=1287)","1215","0.424499999999999988","Enrichr Queries,0.4245"
"FOXP2","-0.766404929939559221","-0.766404929939559221","0.766404929939559221","Repressed","157","viper","157","0.766404929939559221",NA,NA,"6","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=963); Enrichr--Queries(rank=1216); ARCHS4--Coexpression(rank=1489)","443","0.111100000000000004","ReMap ChIP-seq,0.1111"
