"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"BCAT","472","472.000000000000000","1","0.5406984284634311910267001622","0.8243541093219746151987692","0.638642295453141328743","ChEA_2022(rank=472, adjP=0.824)","BCAT 22108803 ChIP-Seq LS180 Human","381","0.638642295453141328743","enrichr","381","0.638642295453141328743","0.5406984284634311910267001622","0.8243541093219746151987692","","0","",NA,NA,NA
"TBX4","473","473.000000000000000","1","0.5418540509903071455966028225","0.8243541093219746151987692","0.679242345666466684762","ChEA_2022(rank=473, adjP=0.824)","TBX4 33478486 ChIP-Seq IMR90 Human Lung","382","0.679242345666466684762","enrichr","382","0.679242345666466684762","0.5418540509903071455966028225","0.8243541093219746151987692","","3","GTEx--Coexpression(rank=96); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1275)","247","0.05974000000000000","GTEx Coexpression,0.05974"
"KDM4A","473","473.000000000000000","1","0.9927082845426676849243108336","0.9999961280798164153793550","0.003451155618992596784","ENCODE_TF_ChIP-seq_2015(rank=473, adjP=1)","KDM4A H1-hESC hg19","383","0.003451155618992596784","enrichr","383","0.003451155618992596784","0.9927082845426676849243108336","0.9999961280798164153793550","","0","",NA,NA,NA
"NERF2","474","474.000000000000000","1","0.5431000018134773954514571415","0.8243541093219746151987692","0.615028449847970226649","ChEA_2022(rank=474, adjP=0.824)","Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse","384","0.615028449847970226649","enrichr","384","0.615028449847970226649","0.5431000018134773954514571415","0.8243541093219746151987692","","0","",NA,NA,NA
"PRDM16","478","478.000000000000000","1","0.5493867636320941549854524055","0.8258005632883251845299810","0.758857796820507579660","ChEA_2022(rank=478, adjP=0.826)","PRDM16 22522345 ChIP-ChIP PALATE MESENCHYMAL Mouse","385","0.758857796820507579660","enrichr","385","0.758857796820507579660","0.5493867636320941549854524055","0.8258005632883251845299810","","4","GTEx--Coexpression(rank=82); Literature--ChIP-seq(rank=124); Enrichr--Queries(rank=604); ARCHS4--Coexpression(rank=884)","211","0.05103000000000000","GTEx Coexpression,0.05103"
"TRP63","479","479.000000000000000","1","0.5493867636320941549854524055","0.8258005632883251845299810","0.758857796820507579660","ChEA_2022(rank=479, adjP=0.826)","TRP63 18441228 ChIP-ChIP KERATINOCYTES Mouse","386","0.758857796820507579660","enrichr","386","0.758857796820507579660","0.5493867636320941549854524055","0.8258005632883251845299810","","0","",NA,NA,NA
"SMAD","480","480.000000000000000","1","0.5530095927239174757872319788","0.8278295131716674193356198","0.742911645774826823185","ChEA_2022(rank=480, adjP=0.828)","SMAD 19615063 ChIP-ChIP OVARY Human","387","0.742911645774826823185","enrichr","387","0.742911645774826823185","0.5530095927239174757872319788","0.8278295131716674193356198","","0","",NA,NA,NA
"SIRT6","485","485.000000000000000","1","0.9927082845426676849243108336","0.9999961280798164153793550","0.003451155618992596784","ENCODE_TF_ChIP-seq_2015(rank=485, adjP=1)","SIRT6 H1-hESC hg19","388","0.003451155618992596784","enrichr","388","0.003451155618992596784","0.9927082845426676849243108336","0.9999961280798164153793550","","0","",NA,NA,NA
"ZFP42","488","488.000000000000000","1","0.5660213943157167415520802933","0.8309294031688415627101563","0.561374144186563839298","ChEA_2022(rank=488, adjP=0.831)","ZFP42 18358816 ChIP-ChIP MESCs Mouse","389","0.561374144186563839298","enrichr","389","0.561374144186563839298","0.5660213943157167415520802933","0.8309294031688415627101563","","4","ARCHS4--Coexpression(rank=40); Literature--ChIP-seq(rank=107); Enrichr--Queries(rank=357); GTEx--Coexpression(rank=563)","104","0.02457000000000000","ARCHS4 Coexpression,0.02457"
"MECOM","492","492.000000000000000","1","0.5688561626046498842512733063","0.8324724330799754268284119","0.553258736454230404256","ChEA_2022(rank=492, adjP=0.832)","MECOM 23826213 ChIP-Seq KASUMI Mouse","390","0.553258736454230404256","enrichr","390","0.553258736454230404256","0.5688561626046498842512733063","0.8324724330799754268284119","","3","Literature--ChIP-seq(rank=105); GTEx--Coexpression(rank=178); ARCHS4--Coexpression(rank=199)","425","0.11080000000000000","GTEx Coexpression,0.1108"
